checklist_item_id	checklist_item_deficiency_text	grade	condition	expected_vision_tool_call	actual_vision_tool_call	finding_status
cc-15:CC-15-11	Landscape plans missing ECM Appendix C calculations, notes, or planting details (ENV-46)	vision-only	always	vision_check (generic)	vision_check (generic -> vision)	fail
cc-15:CC-15-12	CEFs and buffers/setbacks not identified on plans (ENV-47)	inspect-drawing-optional	conditional	vision_check (drawing_inspect or generic)	not called	not-applicable
cc-15:CC-15-13	CWQZ/WQTZ and 100-year floodplains not delineated on plans (ENV-48)	inspect-drawing-optional	conditional	vision_check (drawing_inspect or generic)	not called	not-applicable
cc-15:CC-15-14	Tree Protection Plan (or Tree Preservation Plan) sheet not present in plan set (ENV-18b)	vision-only	always	vision_check (generic)	not called	pass
cc-15:CC-15-15	ECM Appendix Q-2 table (Land Area Calculations for Impervious Cover) not included in plan set (ENV-45b)	vision-only	conditional	vision_check (generic)	not called	not-applicable
cc-19:CC-19-01	DCM-compliant Floodplain Study not present, or not signed and sealed by PE (FLP-01)	vision-only	conditional	vision_check (generic)	not called	not-applicable
cc-19:CC-19-02	Lowest Finished Floor Elevation not shown on all proposed structures in MSL (FLP-02)	vision-only	always	vision_check (generic)	not called	pass
cc-19:CC-19-03	FEMA 100-year floodplain not delineated on plans (FLP-03)	inspect-drawing-optional	conditional	vision_check (drawing_inspect or generic)	not called	not-applicable
cc-19:CC-19-04	Fully developed 25-yr and 100-yr floodplains not delineated on plans (per COA study or engineer's study) (FLP-04)	inspect-drawing-optional	conditional	vision_check (drawing_inspect or generic)	not called	not-applicable
cc-19:CC-19-05	Drainage easements do not contain 100-year floodplain (FLP-05)	inspect-drawing-required	conditional	vision_check (drawing_inspect)	not called	not-applicable
cc-19:CC-19-06	Depth certification document not present for parking located within 100-yr floodplain (FLP-06)	no-tool	conditional	none	not called	not-applicable
cc-19:CC-19-07	RSMP Feasibility Determination not present (Feasibility Viewer or Request Form) (RSMP-01)	no-tool	conditional	none	not called	not-applicable
cc-19:CC-19-08	Documentation of completed RSMP Feasibility Meeting not present (RSMP-02)	no-tool	conditional	none	not called	not-applicable
cc-19:CC-19-09	Completed RSMP Application Form not present (RSMP-03)	no-tool	conditional	none	not called	not-applicable
cc-19:CC-19-10	Engineer's Summary Letter does not include RSMP participation request (RSMP-04)	vision-only	conditional	vision_check (generic)	not called	not-applicable
cc-19:CC-19-11	Summary table with existing/proposed flows for 2-yr/10-yr/25-yr/100-yr storms not provided (RSMP-05)	vision-only	conditional	vision_check (generic)	not called	not-applicable
cc-19:CC-19-12	Appraisal information PDF or certified appraisal not provided (RSMP-06)	no-tool	conditional	none	not called	not-applicable
cc-19:CC-19-13	Documentation of Area Claimed as Allowable Exclusion not provided (RSMP-07)	no-tool	conditional	none	not called	not-applicable
cc-19:CC-19-14	Smart Housing Certification Letter not provided (RSMP-08)	no-tool	conditional	none	not called	not-applicable
cc-19:CC-19-15	Modeling files, drainage analyses, and No Adverse Impact analyses not provided (zipped per DCM 8) (RSMP-09)	no-tool	conditional	none	not called	not-applicable
cc-19:CC-19-16	Prior RSMP case numbers and approval letters not provided (RSMP-10)	no-tool	conditional	none	not called	not-applicable
cc-19:CC-19-17	Modeling files in zipped format not provided (drainage infrastructure only) (RSMP-11)	no-tool	conditional	none	not called	not-applicable
cc-19:CC-19-18	Engineering cost estimate for RSMP-approved improvements not provided (RSMP-12)	no-tool	conditional	none	not called	not-applicable
cc-19:CC-19-19	Existing/proposed drainage area maps missing analysis points, contours, spot elevations, or flow arrows (RSMP-13)	inspect-drawing-required	conditional	vision_check (drawing_inspect)	not called	not-applicable
cc-19:CC-19-20	Existing/proposed grading plans not provided (RSMP-14)	no-tool	conditional	none	not called	not-applicable
cc-19:CC-19-21	Plan and profile sheets for proposed drainage infrastructure improvements not provided (RSMP-15)	no-tool	conditional	none	not called	not-applicable
cc-19:CC-19-22	Floodplain note missing from cover sheet, or FEMA FIRM Panel number, revision letter, or effective date not included (CVR-31)	vision-only	always	vision_check (generic)	not called	pass
cc-2:CC-2-02	Engineer's Summary Letter does not identify watershed location and classification (ESL-02)	vision-only	always	vision_check (generic)	not called	pass
cc-2:CC-2-14	Engineer's seal, signature, or date missing from one or more plan sheets (BAS-05)	vision-only	always	vision_check (generic)	vision_check (routing unknown)	pass
cc-2:CC-2-16	Boundary lines with bearings and dimensions not shown on Existing Conditions or Overall Site Plan sheet(s) (BAS-07)	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	vision_check (generic -> vision)	pass
cc-2:CC-2-21	Existing or future dedicated easements not shown on one or more sheets (BAS-12)	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	not called	pass
cc-2:CC-2-23	Overhead utility lines (existing and proposed) not shown on applicable sheets (BAS-14a)	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	not called	pass
cc-2:CC-2-24	Underground utility lines (existing and proposed) not shown on applicable sheets (BAS-14b)	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	not called	pass
cc-20:CC-20-01	"Engineer's signature, seal, and date missing from front page of bound WQ/drainage documents, or seal bears qualifying language (e.g., ""preliminary"", ""draft"") (WQD-01)"	vision-only	always	vision_check (generic)	vision_check (routing unknown)	pass
cc-20:CC-20-02	Engineer's project summary letter not present, or not signed/sealed/dated, or does not discuss 2-yr peak flow control and WQ compliance (WQD-02)	vision-only	always	vision_check (generic)	not called	pass
cc-20:CC-20-03	Flood control compliance provision not documented and RSMP application not included (WQD-03)	vision-only	always	vision_check (generic)	not called	pass
cc-20:CC-20-20	Detention pond cross-section not provided (2-yr/10-yr/25-yr/100-yr WSEs) (WQD-20)	inspect-drawing-optional	conditional	vision_check (drawing_inspect or generic)	not called	pass
cc-20:CC-20-21	Detention outlet structure detail with calculations not provided (WQD-21)	inspect-drawing-optional	conditional	vision_check (drawing_inspect or generic)	not called	pass
cc-20:CC-20-22	Stage-storage discharge table not provided (WQD-22)	vision-only	conditional	vision_check (generic)	not called	pass
cc-20:CC-20-25	WQ pond cross-section not provided showing WQ surface elevation (WQD-25)	inspect-drawing-optional	conditional	vision_check (drawing_inspect or generic)	not called	pass
cc-22:CC-22-08	TIA report and technical addendum not present when TIA Determination indicates required (Full TIA, Transportation Assessment, ZTA, or TIA Compliance) (TRN-08)	no-tool	conditional	none	not called	not-applicable
cc-22:CC-22-12	Driveway spacing dimensions not shown on plans (DRV-02)	inspect-drawing-optional	conditional	vision_check (drawing_inspect or generic)	vision_check (generic -> vision)	fail
cc-22:CC-22-13	Driveway widths or curb return radii not shown on plans (DRV-03)	inspect-drawing-optional	conditional	vision_check (drawing_inspect or generic)	vision_check (generic -> vision)	fail
cc-22:CC-22-14	Adjacent driveways within 300 feet not shown on plans (DRV-04)	inspect-drawing-required	always	vision_check (drawing_inspect)	vision_check (drawing_inspect -> vision) [FALLBACK]	fail
cc-22:CC-22-15	Offsets from opposing driveways not dimensioned on undivided street frontage (DRV-05)	inspect-drawing-optional	conditional	vision_check (drawing_inspect or generic)	vision_check (drawing_inspect -> vision) [FALLBACK]	fail
cc-22:CC-22-17	Parking table not showing proposed land use(s) with square footage (PRK-01)	vision-only	always	vision_check (generic)	not called	pass
cc-22:CC-22-18	Total number of provided parking spaces (vehicle and bicycle) not shown (PRK-02)	vision-only	always	vision_check (generic)	vision_check (routing unknown)	pass
cc-22:CC-22-19	Parking stall width, depth, or angle not dimensioned (PRK-03)	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	not called	pass
cc-22:CC-22-20	Parking aisle widths or internal driveway widths not dimensioned (PRK-04)	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	vision_check (generic -> vision)	pass
cc-22:CC-22-21	Parking spaces not identified by type (standard, compact, handicapped, bicycle) (PRK-05)	vision-only	always	vision_check (generic)	vision_check (drawing_inspect -> vision) [FALLBACK]	pass
cc-22:CC-22-25	Accessible route of travel not shown connecting all accessible elements (ADA-01)	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	vision_check (drawing_inspect -> vision) [FALLBACK]	fail
cc-22:CC-22-27	Ramps connecting accessible elements not shown on plans (ADA-03)	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	vision_check (drawing_inspect -> vision) [FALLBACK]	pass
cc-22:OSP-01	Location of sidewalk pedestrian ramps between off-site parking and public entrances not shown on plans	inspect-drawing-optional	conditional	vision_check (drawing_inspect or generic)	not called	not-applicable
cc-22:OSP-02	Walking distance between off-site parking and use not dimensioned on plans	inspect-drawing-optional	conditional	vision_check (drawing_inspect or generic)	not called	not-applicable
cc-23:CC-23-01	Existing ROW width not shown or not dimensioned (GRD-01)	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	vision_check (generic -> vision)	fail
cc-23:CC-23-02	Existing and proposed behind-the-curb improvements not shown (GRD-02)	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	vision_check (drawing_inspect -> vision) [FALLBACK]	fail
cc-23:CC-23-03	Grading plan with existing and proposed grade lines not provided (GRD-03)	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	vision_check (generic -> vision)	pass
cc-23:CC-23-04	Dimensions for new or modified ROW improvements not shown (GRD-04)	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	vision_check (generic -> vision)	pass
cc-23:CC-23-05	Horizontal (plan) and vertical (profile) views not provided for new roadway construction (RDW-01)	inspect-drawing-optional	conditional	vision_check (drawing_inspect or generic)	not called	not-applicable
cc-23:CC-23-06	Target speed not noted for new roadway (RDW-02)	vision-only	conditional	vision_check (generic)	not called	not-applicable
cc-23:CC-23-07	Signage and striping plan not provided for new or modified roadway in ROW (RDW-03)	vision-only	conditional	vision_check (generic)	vision_check (generic -> vision)	fail
cc-23:CC-23-08	Retaining wall top and bottom elevations not shown (RDW-04)	vision-only	conditional	vision_check (generic)	vision_check (generic -> vision)	pass
cc-23:CC-23-09	Sealed structural drawings for retaining walls in ROW or easements not provided (RDW-05)	vision-only	conditional	vision_check (generic)	vision_check (generic -> vision)	not-applicable
cc-23:CC-23-10	Location of existing and proposed dumpsters and garbage carts (interior or exterior) not shown (SVC-01)	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	vision_check (generic -> vision)	pass
cc-23:CC-23-11	Proposed work adjacent to or encroaching into ROW not identified and labeled (SVC-02)	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	vision_check (drawing_inspect -> vision) [FALLBACK]	pass
cc-24:CC-24-01	License Agreement for tower crane not submitted or referenced (LDE-01)	vision-only	conditional	vision_check (generic)	not called	not-applicable
cc-24:CC-24-02	License Agreement for retention or excavation support systems in ROW not submitted or referenced (LDE-02)	vision-only	conditional	vision_check (generic)	not called	not-applicable
cc-24:CC-24-03	License Agreement for streetscape elements in ROW (awnings, canopies, benches, bike racks, trash) not submitted or referenced (LDE-03)	vision-only	conditional	vision_check (generic)	vision_check (routing unknown)	not-applicable
cc-24:CC-24-04	License Agreement for street trees, landscaping, or irrigation in ROW not submitted or referenced (LDE-04)	vision-only	conditional	vision_check (generic)	vision_check (routing unknown)	fail
cc-24:CC-24-05	License Agreement for outdoor dining areas in ROW not submitted or referenced (LDE-05)	vision-only	conditional	vision_check (generic)	not called	not-applicable
cc-24:CC-24-06	License Agreement for pedestrian lighting in ROW not submitted or referenced (LDE-06)	vision-only	conditional	vision_check (generic)	vision_check (routing unknown)	not-applicable
cc-24:CC-24-13	Required License or Encroachment Agreement application not submitted or referenced on plans (LDE-13)	vision-only	conditional	vision_check (generic)	not called	fail
cc-24:CC-24-15	Plans not submitted or referenced for AULCC when excavations exceed 25 LF in DAPCZ or 300 LF outside DAPCZ (ROW-02)	vision-only	conditional	vision_check (generic)	not called	fail
cc-24:CC-24-16	Plans not submitted or referenced for AULCC when License Agreement or tower crane is involved (ROW-03)	vision-only	conditional	vision_check (generic)	not called	fail
cc-3:AF-01	codes/general-site-plan-notes/contents/General Site Plan Notes for COA.md	vision-only	always	vision_check (generic)	not called	pass
cc-3:CC-3-14	Revision/Correction Table missing from cover sheet or not in Notes and Templates format (CVR-14)	vision-only	always	vision_check (generic)	vision_check (generic -> vision)	pass
cc-3:CC-3-17	Index of all site plan sheets missing from cover sheet or 2nd sheet (CVR-17)	vision-only	always	vision_check (generic)	vision_check (generic -> vision)	fail
cc-3:CC-3-18	Verbatim Ordinance Requirements notes missing or incomplete on cover sheet (9 required notes per Notes and Templates DOCX) (CVR-18)	vision-only	always	vision_check (generic)	not called	pass
cc-3:CC-3-19	Verbatim Compatibility notes missing or incomplete on cover sheet (5 required notes: reflective materials, noise, lighting, dumpsters) (CVR-19)	vision-only	conditional	vision_check (generic)	not called	pass
cc-3:CC-3-21	Verbatim General Construction notes missing or incomplete from plan set (6 required notes: disclaimer, 811, pre-con meeting, OSHA, environmental, certification) (CVR-21) -- notes may appear on any plan sheet, not required to be on cover sheet	vision-only	always	vision_check (generic)	vision_check (routing unknown)	pass
cc-3:CC-3-22	ADA disclaimer note missing from plan set (CVR-22)	vision-only	always	vision_check (generic)	not called	pass
cc-3:CC-3-23	Developer Information block missing from cover sheet (Owner, erosion/sediment contact, tree/natural area contact) (CVR-23)	vision-only	always	vision_check (generic)	not called	pass
cc-3:CC-3-24	Director DSD approval block or Site Plan/SDP Number block missing from cover sheet (CVR-24)	vision-only	always	vision_check (generic)	vision_check (generic -> vision)	pass
cc-3:CC-3-26	Barton Springs Zone Operating Permit approval block missing from cover sheet per ECM 1.2.3.1 (CVR-26)	vision-only	conditional	vision_check (generic)	not called	not-applicable
cc-3:CC-3-27	Great Streets or UNO boundaries not indicated on site plan (CVR-27)	inspect-drawing-optional	conditional	vision_check (drawing_inspect or generic)	not called	not-applicable
cc-5:ADR-01	Addressing information not shown on an Addressing Plan sheet or the overall site plan sheet, or not listed in Sheet Index	vision-only	always	vision_check (generic)	vision_check (generic -> vision)	pass
cc-5:ADR-04	Main front entrance, building doors, entries, and access points not labeled on site plan	vision-only	always	vision_check (generic)	vision_check (generic -> vision)	pass
cc-5:ADR-05	Driveway access points, handicap parking, garages, and sidewalk access not identified on plans	inspect-drawing-optional	always	vision_check (drawing_inspect or generic)	vision_check (drawing_inspect -> vision) [FALLBACK]	pass
cc-5:ADR-07	"Project name includes address number (e.g., ""1515 Main St Commons"" instead of ""Main St Commons"")"	vision-only	always	vision_check (generic)	vision_check (routing unknown)	fail
cc-5:ADR-08	Multiple buildings not labeled sequentially (Bldg 1, Bldg 2, etc.) per 911 Addressing Standards p.8	vision-only	conditional	vision_check (generic)	vision_check (generic -> vision)	not-applicable
cc-5:DAT-01	Data table missing proposed and/or allowed FAR	vision-only	always	vision_check (generic)	not called	pass
cc-5:DAT-02	Data table missing impervious cover percentage and/or square footage	vision-only	always	vision_check (generic)	not called	pass
cc-5:DAT-03	Data table missing building coverage percentage and/or square footage	vision-only	always	vision_check (generic)	not called	pass
cc-5:DAT-04	Data table missing unit count	vision-only	always	vision_check (generic)	not called	pass
cc-5:DAT-05	Data table missing building height in feet and/or stories	vision-only	always	vision_check (generic)	not called	pass
cc-5:DAT-06	Data table missing gross floor area per building and/or overall total	vision-only	always	vision_check (generic)	not called	pass
cc-5:DAT-07	Data table missing open space percentage and/or square footage	vision-only	conditional	vision_check (generic)	not called	pass
cc-5:HCR-01	Construction lines not shown on plans including all buildings, parking, and cut/fill areas	inspect-drawing-optional	conditional	vision_check (drawing_inspect or generic)	not called	not-applicable
