callId	matched_item_id	match_score	matched_grade	classifier_route	classifier_confidence	classifier_reasoning	specialist	dispatch_success	fallback_reason	text_preview
20260506T132158754Z-0mug	CC-15-07	0.88	vision-only	generic	0.95	This requires checking whether specific notes and classifications are present in the plan set documentation, which is a document-level inspection rather than a measurement or spatial relationship analysis.	vision	True		Watershed classification and standard environmental notes not included in plan set (ENV-02)
20260506T132159787Z-xebj	CMP-02	0.94	inspect-drawing-optional	generic	0.95	This is a document-level inspection checking for the presence or completeness of a required deliverable (building elevations), not a measurement or spatial relationship analysis within a drawing.	vision	True		Building elevations showing architectural elements not provided
20260506T132210103Z-5447	CC-24-04	0.60	vision-only	drawing_inspect	0.85	This requires visual inspection of the plan to identify whether street trees are shown and their spatial relationship to property lines and right-of-way boundaries, which involves interpreting symbols and spatial relationships on the drawing.	vision	True	workflowPath_not_provided_specialists_unreachable	License Agreement for street trees, landscaping, or irrigation in ROW not submitted or referenced. A
20260506T132217064Z-quo5	CC-22-12	0.86	inspect-drawing-optional	generic	0.85	This item requires checking whether dimension labels or numerical values for driveway spacing are present on the plan document, which is a label/notation presence check rather than a measurement task or spatial relationship inspection.	vision	True		Driveway spacing dimensions not shown on plans (DRV-02)
20260506T132217595Z-jjgc	ADR-05	0.96	inspect-drawing-optional	drawing_inspect	0.92	This requires visual inspection of the plan to identify whether specific features (driveway access points, handicap parking, garages, sidewalk access) are marked or labeled on the drawing, which is a spatial/symbol recognition task rather than a measurement or document-level check.	vision	True	workflowPath_not_provided_specialists_unreachable	Driveway access points, handicap parking, garages, and sidewalk access not identified on plans
20260506T132223449Z-d1qc	CC-23-03	0.89	inspect-drawing-optional	generic	0.95	This is a document-level inspection checking for the presence of required plan elements (grading plan with grade lines) rather than measuring distances or inspecting spatial relationships within a drawing.	vision	True		Grading plan with existing and proposed grade lines not provided (GRD-03)
20260506T132237157Z-x0v1	CC-24-06	0.56	vision-only	drawing_inspect	0.85	This requires visual inspection of the drawing to identify whether street lights are shown and to determine their spatial relationship to property lines and the public right-of-way boundary.	vision	True	workflowPath_not_provided_specialists_unreachable	License Agreement for pedestrian lighting in ROW not submitted or referenced. Are any street lights 
20260506T132241000Z-x5y2	CC-22-13	0.84	inspect-drawing-optional	generic	0.85	This item requires checking whether specific dimensional labels or notes are present on the plan, rather than measuring distances between objects or inspecting spatial relationships.	vision	True		Driveway widths or curb return radii not shown on plans (DRV-03)
20260506T132243035Z-fbmh	CC-1-09	0.64	vision-only	generic	0.95	This requires checking for the presence and completeness of a document (Engineering Report) and verifying title-block/cover-page elements (signature, seal, date), which is a document-level inspection task.	vision	True		Bound Engineering Report missing, or front page lacks signature, seal, or date (INT-09)
20260506T132244956Z-byti	CC-2-16	0.91	inspect-drawing-optional	generic	0.92	This item requires checking whether specific information (boundary lines with bearings and dimensions) is present or absent on particular sheets, which is a document-level inspection rather than a measurement or spatial-relationship analysis.	vision	True		Boundary lines with bearings and dimensions not shown on Existing Conditions or Overall Site Plan sh
20260506T132248019Z-5rcq	CMP-03	0.94	inspect-drawing-optional	drawing_inspect	0.85	This requires visual inspection of the plan to verify that setback lines, dimensions, or notations adjacent to residential areas are depicted, which involves examining spatial relationships and symbols on the drawing rather than measuring a specific distance or reading a label.	vision	True	workflowPath_not_provided_specialists_unreachable	Setbacks adjacent to residential uses or zoning not shown on plans
20260506T132252609Z-40ms	CC-23-04	0.88	inspect-drawing-optional	generic	0.85	This item requires checking whether dimension annotations are present on the plan for ROW improvements, which is a label/notation presence check rather than measuring distances between objects or inspecting spatial relationships.	vision	True		Dimensions for new or modified ROW improvements not shown (GRD-04)
20260506T132259405Z-bpry	CC-1-19	0.75	vision-only	generic	0.95	This checklist item requires verification of document-level deliverables (presence of location map as separate PDF and visual marking conventions) rather than measurement or drawing symbol inspection.	vision	True		Legible location map missing, not a separate PDF, or site area not marked in red (INT-19)
20260506T132306459Z-uxqd	ADR-01	0.84	vision-only	generic	0.95	This requires checking for the presence and completeness of addressing information across specific sheets and a table (Sheet Index), which is a document-level inspection task rather than a measurement or drawing-relationship analysis.	vision	True		Addressing information not shown on an Addressing Plan sheet or the overall site plan sheet, or not 
20260506T132308972Z-i295	CC-22-14	0.88	inspect-drawing-required	drawing_inspect	0.92	This requires visual inspection of the plan to identify and verify the presence or absence of adjacent driveways within a specified distance, which is a spatial relationship and symbol/feature recognition task rather than a precise measurement between two marked objects.	vision	True	workflowPath_not_provided_specialists_unreachable	Adjacent driveways within 300 feet not shown on plans (DRV-04)
20260506T132311450Z-ny9i	CC-3-14	0.79	vision-only	generic	0.95	This requires checking the cover sheet for the presence and format of a specific table/document element, which is a document-level inspection task rather than a measurement or drawing spatial relationship.	vision	True		Revision/Correction Table missing from cover sheet or not in Notes and Templates format (CVR-14)
20260506T132314644Z-0dhd	CC-1-13	0.69	vision-only	generic	0.95	This requires checking for the presence and signature status of a specific document (TIA Determination Worksheet), which is a document-level inspection task rather than a measurement or drawing spatial analysis.	vision	True		Completed TIA Determination Worksheet missing or unsigned (INT-13)
20260506T132327160Z-t8kk	CC-23-10	0.77	inspect-drawing-optional	generic	0.92	This item requires checking for the presence and labeling of dumpster and garbage cart locations on the plan, which is a document-level inspection task rather than a measurement or spatial relationship analysis.	vision	True		Location of existing and proposed dumpsters and garbage carts (interior or exterior) not shown (SVC-
20260506T132332469Z-swt4	CC-3-17	0.80	vision-only	generic	0.95	This requires checking the cover sheet or second sheet for the presence and completeness of a document-level index listing, which is a title-block/document inventory inspection rather than a measurement or drawing spatial analysis.	vision	True		Index of all site plan sheets missing from cover sheet or 2nd sheet (CVR-17)
20260506T132339364Z-seqw	CC-1-09	0.47	vision-only	generic	0.99	This requires checking for the presence and validity of engineer credentials (seal, signature, date) on document sheets, which is a document-level compliance inspection rather than a spatial measurement or drawing symbol analysis.	vision	True		Engineer's seal, signature, or date missing from one or more plan sheets (BAS-05)
20260506T132342064Z-kdam	CC-23-11	0.92	inspect-drawing-optional	drawing_inspect	0.92	This requires visual inspection of the drawing to identify and verify that proposed work features are labeled and their spatial relationship to the right-of-way (ROW) boundary is clearly shown through symbols and annotations.	vision	True	workflowPath_not_provided_specialists_unreachable	Proposed work adjacent to or encroaching into ROW not identified and labeled (SVC-02)
20260506T132344349Z-rq53	CMP-03	0.94	inspect-drawing-optional	drawing_inspect	0.92	This requires visual inspection of the plan to verify that setback lines, dimensions, or notations adjacent to residential areas are present and correctly depicted as graphic elements on the drawing.	vision	True	workflowPath_not_provided_specialists_unreachable	Setbacks adjacent to residential uses or zoning not shown on plans
20260506T132345931Z-l4wj	CC-15-01	0.80	vision-only	generic	0.92	This item requires verification that a tree survey document exists, is complete, and carries proper professional certification—a document-level inspection rather than a measurement or drawing-symbol analysis.	vision	True		Tree survey for regulated trees (8-inch diameter and larger) within or having CRZ touching LOC missi
20260506T132348518Z-3f2a	ADR-07	0.44	vision-only	generic	0.95	This is a document-level inspection of the project name field in the title block or cover sheet to verify it includes a specific address number.	vision	True		"Project name includes address number (e.g., ""1515 Main St Commons"" instead of ""Main St Commons"")"
20260506T132357413Z-um96	ADR-08	0.94	vision-only	generic	0.95	This requires checking labels and their naming convention against a standard reference, which is a document-level inspection task rather than a measurement or spatial relationship analysis.	vision	True		Multiple buildings not labeled sequentially (Bldg 1, Bldg 2, etc.) per 911 Addressing Standards p.8
20260506T132400843Z-ju54	CC-22-15	0.91	inspect-drawing-optional	drawing_inspect	0.85	This requires visual inspection of the drawing to verify that offset dimensions between opposing driveways are shown on the plan, which is a spatial relationship and annotation check rather than a measurement task.	vision	True	workflowPath_not_provided_specialists_unreachable	Offsets from opposing driveways not dimensioned on undivided street frontage (DRV-05)
20260506T132403126Z-91h4	CC-3-24	0.82	vision-only	generic	0.98	This requires checking the cover sheet for the presence of specific title-block elements (approval block or plan number), which is a document-level inspection task rather than a measurement or drawing-relationship analysis.	vision	True		Director DSD approval block or Site Plan/SDP Number block missing from cover sheet (CVR-24)
20260506T132404303Z-6wux	CC-1-09	0.47	vision-only	generic	0.99	This requires checking for the presence and validity of engineer credentials (seal, signature, date) on document sheets, which is a document-level compliance inspection rather than a spatial measurement or drawing symbol analysis.	vision	True		Engineer's seal, signature, or date missing from one or more plan sheets (BAS-05)
20260506T132425317Z-e7v0	ADR-05	0.96	inspect-drawing-optional	drawing_inspect	0.92	This requires visual inspection of the plan to identify whether specific features (driveway access points, handicap parking, garages, sidewalk access) are marked or labeled on the drawing, which is a spatial/symbol recognition task rather than a measurement or document-level check.	vision	True	workflowPath_not_provided_specialists_unreachable	Driveway access points, handicap parking, garages, and sidewalk access not identified on plans
20260506T132425318Z-b25w	CC-3-21	0.45	vision-only	generic	0.95	This requires checking the presence and completeness of specific text notes in the plan set, which is a document-level inspection task rather than a measurement or spatial drawing analysis.	vision	True		Verbatim General Construction notes missing or incomplete from plan set (6 required notes: disclaime
20260506T132432420Z-f140	CC-22-20	0.81	inspect-drawing-optional	generic	0.85	This item requires checking whether dimension annotations are present on the drawing for parking aisles and internal driveways, which is a label/annotation presence check rather than measuring distances between objects or inspecting spatial relationships.	vision	True		Parking aisle widths or internal driveway widths not dimensioned (PRK-04)
20260506T132437490Z-ycxa	CC-1-09	0.47	vision-only	generic	0.99	This requires checking for the presence and validity of engineer credentials (seal, signature, date) on document sheets, which is a document-level compliance inspection rather than a spatial or measurement task.	vision	True		Engineer's seal, signature, or date missing from one or more plan sheets (BAS-05)
20260506T132504870Z-nffv	CC-23-02	0.89	inspect-drawing-optional	drawing_inspect	0.85	This requires visual inspection of the drawing to verify whether behind-the-curb improvements (both existing and proposed) are depicted with appropriate symbols or lines, which is a spatial representation and drawing completeness issue rather than a measurement or document-level check.	vision	True	workflowPath_not_provided_specialists_unreachable	Existing and proposed behind-the-curb improvements not shown (GRD-02)
20260506T132505917Z-epko	CC-22-21	0.91	vision-only	drawing_inspect	0.85	This requires visual inspection of parking space symbols and markings on the plan to verify that each space is labeled or distinguished by type, which is a drawing representation and symbol interpretation task rather than a measurement or document-level check.	vision	True	workflowPath_not_provided_specialists_unreachable	Parking spaces not identified by type (standard, compact, handicapped, bicycle) (PRK-05)
20260506T132524956Z-2177	AW-23	0.93	inspect-drawing-required	drawing_inspect	0.99	This requires visual inspection of plan views to verify the presence and correctness of flow-direction symbols or arrows, which is a spatial/symbolic representation check rather than a distance measurement or document-level lookup.	vision	True	workflowPath_not_provided_specialists_unreachable	Wastewater flow direction not indicated on plan views
20260506T132537823Z-6o2g	CC-23-08	0.87	vision-only	generic	0.85	This requires checking whether elevation labels or notes are present on the retaining wall drawing, which is a label/annotation presence check rather than a spatial measurement or drawing symbol inspection.	vision	True		Retaining wall top and bottom elevations not shown (RDW-04)
20260506T132539759Z-l7ba	AW-19	0.86	vision-only	generic	0.95	This requires checking for the presence of a general location map and verifying that specific reference information (Grid number and Mapsco Page number) is labeled on the document, which is a document-level inspection task.	vision	True		General location map missing, or Grid number and Mapsco Page number not shown
20260506T132555253Z-6szg	CC-15-11	0.85	vision-only	generic	0.95	This item requires checking for the presence and completeness of specific document sections (ECM Appendix C calculations, notes, and planting details) rather than measuring distances, inspecting spatial relationships, or analyzing drawing symbols.	vision	True		Landscape plans missing ECM Appendix C calculations, notes, or planting details (ENV-46)
20260506T132604125Z-vme1	AW-21	0.81	inspect-drawing-required	drawing_inspect	0.95	This item requires visual inspection of how pipes are symbolized and positioned relative to easements/ROW boundaries on the drawing, including verification that large pipes use double-line representation.	vision	True	workflowPath_not_provided_specialists_unreachable	Size, pipe material, or location of W/WW/reclaimed mains not shown with respect to easements/ROW, or
20260506T132619542Z-b4xn	CC-23-08	0.87	vision-only	generic	0.85	This requires checking whether elevation labels or notes are present on the retaining wall drawing, which is a label/annotation presence check rather than a spatial measurement or drawing symbol inspection.	vision	True		Retaining wall top and bottom elevations not shown (RDW-04)
20260506T132624086Z-rtao	CC-22-25	0.89	inspect-drawing-optional	drawing_inspect	0.92	This requires visual inspection of the drawing to verify that lines or paths representing accessible routes are present and connect all designated accessible elements, which is a spatial relationship and symbol interpretation task rather than a specific distance measurement or document-level check.	vision	True	workflowPath_not_provided_specialists_unreachable	Accessible route of travel not shown connecting all accessible elements (ADA-01)
20260506T132639890Z-vvtp	AW-27	0.66	inspect-drawing-optional	generic	0.95	This item requires checking for the presence and completeness of text labels and notations (recordation numbers and easement limit indicators) on the plan, which is a document-level annotation inspection rather than a measurement or spatial relationship analysis.	vision	True		Recorded easement recordation numbers (volume/page) not shown for existing easements, or proposed ea
20260506T132650026Z-r3ax	CC-22-27	0.88	inspect-drawing-optional	drawing_inspect	0.85	This requires visual inspection of the plan drawings to verify the presence and routing of ramps connecting accessible elements, which is a spatial relationship and symbol/feature identification task rather than a specific distance measurement or document-level check.	vision	True	workflowPath_not_provided_specialists_unreachable	Ramps connecting accessible elements not shown on plans (ADA-03)
20260506T132700559Z-lpcb	CC-23-09	0.80	vision-only	generic	0.95	This item requires checking for the presence and completeness of a specific document type (sealed structural drawings for retaining walls) rather than measuring distances, inspecting spatial relationships, or analyzing drawing symbols.	vision	True		Sealed structural drawings for retaining walls in ROW or easements not provided (RDW-05)
20260506T132701034Z-q96x	AW-38b	0.91	inspect-drawing-optional	drawing_inspect	0.95	This requires visual inspection of the drawing to verify the presence and correct depiction of storm sewer lines, easement boundaries, and watercourse centerlines as linear features or symbols, rather than measuring distances between objects.	vision	True	workflowPath_not_provided_specialists_unreachable	Storm sewers, easements, or watercourse centerlines not shown on plans
20260506T132736284Z-zky3	CC-22-25	0.72	inspect-drawing-optional	drawing_inspect	0.85	This requires visual inspection of the drawing to verify that lines or paths representing accessible routes are present and connect all required accessible elements, which is a spatial relationship and symbol interpretation task rather than a specific distance measurement or document-level check.	vision	True	workflowPath_not_provided_specialists_unreachable	Accessible route of travel not shown connecting all accessible elements including accessible parking
20260506T132738423Z-1qup	AW-46	0.93	vision-only	generic	0.92	This item requires checking for the presence and completeness of labels on various infrastructure elements across the plan, which is a document-level inspection task rather than measuring distances or analyzing spatial relationships.	vision	True		Roadways, drives, overpasses, bridges, culverts, drainage structures, or pavers not labeled on plans
20260506T132807854Z-6r1n	CC-23-07	0.82	vision-only	generic	0.95	This item checks for the presence or absence of an entire plan document (signage and striping plan), which is a document-level inspection rather than requiring measurement or drawing symbol/relationship analysis.	vision	True		Signage and striping plan not provided for new or modified roadway in ROW (RDW-03)
20260506T132814409Z-edd0	AW-31	0.77	vision-only	drawing_inspect	0.92	This requires visual inspection of the drawing to verify that curve data (radius, arc length, delta angle, etc.) is present and labeled for the specified linear features, which is a matter of symbol notation and drawing completeness rather than measurement between objects.	vision	True	workflowPath_not_provided_specialists_unreachable	Curve data for roads, property lines, water, and reclaimed water lines not shown
20260506T132824683Z-de46	CC-22-18	0.56	vision-only	generic	0.92	This requires checking for the presence and readout of a specific numerical count (bicycle parking short-term spaces) in a table or label on the plan, which is a document-level data inspection rather than a spatial measurement or drawing symbol analysis.	vision	True		Total number of provided parking spaces (vehicle and bicycle) not shown (PRK-02) - specifically chec
20260506T132853271Z-efxd	CC-22-12	0.86	inspect-drawing-optional	generic	0.85	This item requires checking whether dimension annotations or labels are present on the plan document, which is a document-level inspection of notation completeness rather than measuring distances between objects or inspecting spatial relationships.	vision	True		Driveway spacing dimensions not shown on plans (DRV-02)
20260506T132909346Z-hlhu	AW-18	0.70	inspect-drawing-optional	generic	0.92	This item requires checking for the presence and correct placement of profile views and plan views according to a specific standard (UCM 2.5.1.E.3), which is a document-level compliance inspection rather than a measurement or spatial relationship analysis.	vision	True		Profile view missing for public water/reclaimed/wastewater mains, or plan view not at top half of sh
