callId	deficiencyId	matched_classification	matched_should_call	classifier_route	expected_route_strict	route_correct_strict	classifier_confidence	classifier_reasoning	specialist	dispatch_success	fallback_reason	checklist_text_preview	agent_question_preview
20260507T120506864Z-bq1q	EL-13.33	not-applicable	no	drawing_inspect		no	0.92	The agent is asking for identification and spatial reasoning about transformer pad locations relative to property boundaries and right-of-way lines—a drawing-relationship question—rather than a precise measurement of distance between features. This is sub-feature identification and spatial positioning on the plan, not a clearance or distance measurement.	vision	True	specialist_script_not_found_in_bureau	Transformer pads not located 100% on private property, located in public right-of-way, or straddling	Are all transformer pads shown on the site plan located completely within private property, away fro
20260507T120509164Z-1wrb	EL-13.10	horizontal	yes	drawing_inspect	measurement	no	0.92	The agent is asking whether specific dimensions and labels are present on the drawing (pad sizes, door orientation, equipment type), which is a drawing-inspection task (reading symbols, labels, and spatial relationships). Although the ultimate requirement involves a 10-foot clearance measurement, the agent is currently performing a prerequisite check for whether the necessary dimensional information exists on the plan itself, not yet measuring the actual clearance distance.	vision	True	specialist_script_not_found_in_bureau	Transformer pad hot-stick use area (access door side) lacks minimum 10-foot clearance to open area o	Are specific dimensions labeled for the transformer pads? Are the pad sizes (length x width), access
20260507T120510277Z-vvxb	EL-2.1	horizontal	yes	drawing_inspect	measurement	no	0.85	The agent is asking for tree species identification, clearance dimension labels, and distance callouts shown on the drawing itself—all drawing-reading tasks. While the ultimate requirement is a measurement-based compliance check (15-foot lateral clearance), the agent is currently performing sub-feature identification and label inspection to extract what information the drawing provides, not yet measuring actual distances.	vision	True	specialist_script_not_found_in_bureau	Non-utility-compatible trees proposed within 15 lateral feet of overhead electric distribution condu	What tree species are shown in the right/bottom area near the overhead electric (OHE) line? What are
20260507T120511057Z-1a34	EL-2.10	not-applicable	no	drawing_inspect		no	0.95	The agent is asking whether tree symbols are labeled with species names and whether those labels can be cross-referenced to a plant schedule—this requires reading and interpreting symbols, labels, and their spatial relationships on the landscape drawing, not measuring distances or taking clearance readings.	vision	True	specialist_script_not_found_in_bureau	Plant legend or plant schedule does not identify species of trees proposed near electric facilities	On the landscape plan, are the tree symbols for those trees shown near the overhead electric line la
20260507T120512762Z-u2ei	EL-1.37	horizontal	yes	generic	measurement	no	0.92	The agent is asking a two-part presence and identification question: (1) whether overhead electric lines appear on the landscape plan at all, and (2) what tree species are proposed within the clearance zones. This is progressive verification—sheet/feature discovery and species identification precede the actual compatibility check. Once trees and lines are located, a subsequent measurement question would determine exact distances and verify against the Utility Compatible Shade Trees list.	vision	True		Trees proposed within 10 lateral feet of overhead distribution conductors or 50 lateral feet of over	Are there existing overhead electric lines shown on the landscape plan? If so, what trees are propos
20260507T120519174Z-npjt	EL-1.1	horizontal	yes	generic	measurement	no	0.95	The agent is asking whether OHE infrastructure and clearance dimensions are present and labeled on the sheet, which is a sheet-discovery and feature-presence question, not yet a measurement or spatial-relationship inspection. The actual clearance verification (measurement or drawing_inspect) would come after confirming these elements exist.	vision	True		Buildings and permanent structures do not maintain minimum 7 feet 6 inches horizontal sky-to-ground 	Are overhead electric poles, overhead utility lines (OHE), and conductor routing shown on the main s
20260507T120529835Z-jobu	EL-13.34	not-applicable	no	drawing_inspect		no	0.92	The agent is asking whether transformer pads overlap with easement boundaries and to identify which easements are involved—this requires reasoning about spatial relationships between drawn features (transformer pad symbols and easement lines/labels) rather than measuring a specific distance or reading a label.	vision	True	specialist_script_not_found_in_bureau	Transformer pads located in prohibited easements including drainage easements, water easements, sewe	Are any transformer pads located within drainage easements, water easements, sewer easements, or oth
20260507T120531719Z-7bmo	EL-13.33	not-applicable	no	drawing_inspect		no	0.92	The agent is asking whether transformer pads are spatially positioned entirely within the property boundary versus on/near property lines or right-of-way—this requires visual reasoning about the spatial relationship between drawn pad locations and boundary lines, not a precise distance measurement.	vision	True	specialist_script_not_found_in_bureau	Transformer pads not located 100% on private property, located in public right-of-way, or straddling	Are the five transformer pads shown on the electrical plan located entirely within the property boun
20260507T120531887Z-nff5	EL-2.1	horizontal	yes	measurement	measurement	yes	0.92	Although the agent asks for species identification (a generic/drawing_inspect element), the primary and compliance-critical question is 'how close are they to the overhead electric conductor line?' — a direct distance measurement against the 15-foot lateral clearance requirement. The species question is secondary context; the routing must prioritize the clearance measurement.	vision	True	measurement_arg_construction_not_implemented	Non-utility-compatible trees proposed within 15 lateral feet of overhead electric distribution condu	"Looking at the landscape plan, the trees marked with ""M"" (mitigation trees) near the overhead electr"
20260507T120538049Z-lfp3	EL-1.46	not-applicable	no	generic		no	0.98	The agent is asking whether a specific note exists in a notes section—a document-presence and text-content check. This is not a measurement or drawing-inspection task; it requires locating and reading a note to verify its presence and content.	vision	True		Plans do not include required note that owner/contractor must notify Austin Energy at least 48 hours	Is there a general notes section on the cover sheet or general notes sheet that includes a note requ
20260507T120542915Z-7vkq	EL-1.8	not-applicable	no	drawing_inspect		no	0.92	The agent is asking whether dimension annotations and clearance labels are present and shown on the plan and section views—a drawing-inspection task (reading symbols, annotations, and spatial relationships on the drawing itself), not a measurement task. The requirement is about dimensional documentation; the agent question is asking if those dimensions are visibly drawn/annotated on the sheets.	vision	True	specialist_script_not_found_in_bureau	Section and plan view exhibits do not show dimensions from outer electric conductor to outermost edg	Does the electrical design plan (Sheet 21) show clearance dimensions from the outer electric conduct
20260507T120543526Z-c0o3	EL-2.14	not-applicable	no	measurement		no	0.98	The agent is directly asking for lateral distance measurements between specific features (mitigation trees and OHE line), which is the core measurement task required to verify the clearance compliance stated in the checklist requirement.	vision	True	measurement_arg_construction_not_implemented	Trees not shown on landscape plan in relation to overhead electric facilities, preventing clearance 	"What is the lateral distance in feet from each tree symbol (marked with ""M"" for mitigation tree) nea"
20260507T120544039Z-rega	EL-1.37	horizontal	yes	measurement	measurement	yes	0.92	The agent is asking to identify trees within a specific lateral distance (10 feet) of overhead electric lines and locate them on the plan. This is a distance-based clearance verification task, even though it includes a presence/identification component. The core question requires measuring or assessing lateral clearance between two physical features (trees and OHE conductors).	vision	True	measurement_arg_construction_not_implemented	Trees proposed within 10 lateral feet of overhead distribution conductors or 50 lateral feet of over	On the landscape plan, are there any trees (marked as SY, PL, P, or M symbols) shown within 10 later
20260507T120558124Z-kro2	EL-13.38	horizontal	yes	drawing_inspect	measurement	no	0.85	The agent is asking about spatial relationships (proximity of transformer pads to parking/vehicle routes) and presence of protective features (bollards/barriers) shown on the drawing, which requires reasoning about layout, symbols, and spatial arrangement rather than precise measurement or simple presence detection.	vision	True	specialist_script_not_found_in_bureau	Equipment pad installed within 4 feet of parking areas or vehicle routes lacks required 4-inch minim	Do any of the transformer pads shown appear to be within 4 feet of parking areas, drive aisles, or v
20260507T120558202Z-0ziv	EL-13.13	horizontal	yes	measurement	measurement	yes	0.92	The agent is asking for identification of trees within specific lateral distance ranges (10-15 feet) from transformer pads and requesting approximate distances, which requires plan-view distance measurement between physical features (trees and equipment pads). While species identification is also requested, the core visual task is measuring clearance distances.	vision	True	measurement_arg_construction_not_implemented	Trees within 10 lateral feet of pad-mounted equipment are not identified as utility-compatible speci	Are there any trees or large shrubs shown within 10-15 feet of the transformer pads shown on the sit
20260507T120601067Z-3b1c	EL-2.10	not-applicable	no	generic		no	0.95	The agent is asking whether a plant list/schedule identifies specific information (species, quantities, specifications) for marked trees. This is a table/document read and presence-verification question, not a spatial measurement or drawing-symbol interpretation. The checklist requirement about species identification aligns with the agent's narrower question about whether the plant schedule contains this data.	vision	True		Plant legend or plant schedule does not identify species of trees proposed near electric facilities	Does the plant list on Sheet 35 identify which specific trees (by species and quantity) are the miti
20260507T120611804Z-usq4	EL-2.11	not-applicable	no	generic		no	0.95	The agent is asking whether tree species are identified and labeled on the legend/notes—a label readout and presence check. Although the checklist requirement concerns clearance verification from overhead electric facilities, the agent question is narrower and is performing a progressive presence/identification check (what species are marked as mitigation trees?) rather than measuring clearances or inspecting spatial relationships between trees and OHE.	vision	True		Large trees (mature height 40+ feet per ECM Appendix F) not differentiated on plans to allow verific	On the landscape plan legend or notes, what specific tree species are identified as mitigation trees
20260507T120617676Z-kry5	EL-1.46	not-applicable	no	generic		no	0.95	The agent is asking for a note-presence and content-readout check (identifying and reading utility-related notes on the sheet, specifically looking for a 48-hour Austin Energy notification requirement), which is a label/text inspection task, not a spatial measurement or drawing-symbol reasoning task.	vision	True		Plans do not include required note that owner/contractor must notify Austin Energy at least 48 hours	What are all the notes on this sheet related to electric utilities, transmission lines, and safety r
20260507T120626953Z-m4ow	EL-13.13	horizontal	yes	measurement	measurement	yes	0.92	The agent question asks for distance measurements ('within 10 feet' and 'within 15 feet') between trees and specific infrastructure features (transformer pads and OHE conductors), which is the core measurement task; the species-identification follow-up is secondary to establishing the spatial clearance violation.	vision	True	measurement_arg_construction_not_implemented	Trees within 10 lateral feet of pad-mounted equipment are not identified as utility-compatible speci	Are there any trees shown within 10 feet of transformer pads or within 15 feet of overhead electric 
20260507T120628782Z-j5a7	EL-13.10	horizontal	yes	measurement	measurement	yes	0.85	Although the agent question begins with a sub-feature identification (which side is the access door), the core compliance question and the agent's actual intent is to verify the 10-foot clearance distance from buildings/structures. The agent is asking for both identification AND clearance verification in a single question, making the measurement task the primary routing target.	vision	True	measurement_arg_construction_not_implemented	Transformer pad hot-stick use area (access door side) lacks minimum 10-foot clearance to open area o	Looking at the transformer pad locations on the electrical plan, which side of each pad appears to b
20260507T120633885Z-wsci	EL-1.2	horizontal	yes	generic	measurement	no	0.95	The agent is asking whether OHE lines are labeled with voltage and what voltage they represent—a label readout and feature identification question. This is a prerequisite presence/identification check before any clearance measurement can be performed; the checklist requirement demands a 15-foot radial clearance measurement, but the agent must first confirm the voltage class of the lines to determine which clearance rule applies.	vision	True		Customer facilities do not maintain minimum 15-foot radial clearance from outside conductor of overh	Are the overhead electric lines shown labeled with voltage (such as 12.47kV, 34.5kV for distribution
20260507T120635247Z-s8xj	EL-2.6	horizontal	yes	drawing_inspect	measurement	no	0.95	The agent is asking about symbol interpretation and legend differentiation on the plan (how to distinguish proposed vs. existing trees), not about measuring distance. This is a sub-feature identification task requiring visual reasoning about drawing conventions and symbols before any clearance measurement can occur.	vision	True	specialist_script_not_found_in_bureau	Trees proposed within 10 lateral feet of overhead electric utility pole	"For the mitigation trees (marked with ""M"") near the OHE line on the bottom property boundary: Are th"
20260507T120644955Z-07si	EL-13.32	not-applicable	no	drawing_inspect		no	0.95	The agent is asking whether drainage flow arrows or contour lines are depicted and what direction they indicate around transformer pads—this is a spatial-relationship and symbol-reading question on the drawing itself, not a measurement of distance or slope angle. The agent is inspecting the drawing representation of drainage direction, not measuring clearance or quantifying slope.	vision	True	specialist_script_not_found_in_bureau	Grading plan shows drainage slopes toward building from oil-filled transformer pad location (liquid 	Are drainage flow arrows or contour lines shown around the transformer pad locations? What direction
20260507T120654546Z-llst	EL-13.27	horizontal	yes	measurement	measurement	yes	0.95	The agent question includes both a presence check (are OHE lines shown?) and a clearance measurement (what is the distance from transformer pads to OHE lines). The measurement component directly addresses the checklist requirement's 7.5-foot horizontal clearance compliance, which is the substantive verification needed; the presence check is preliminary.	vision	True	measurement_arg_construction_not_implemented	Transformer locations lack minimum 7.5-foot horizontal sky-to-ground clearance from overhead distrib	Are there any overhead electric distribution lines shown on the site plan? If so, what is the cleara
20260507T120700003Z-u2e5	EL-13.25	vertical-or-mixed	no	measurement	drawing_inspect	no	0.92	The agent question is asking for both presence/identification of utilities AND the actual clearance distances between transformer pads and those utilities. The second part—'what clearances appear to be provided'—is a direct measurement question that maps to the checklist requirement's 12-inch clearance threshold. While the question begins with a presence check, the primary intent is to measure clearances.	vision	True	measurement_arg_construction_not_implemented	Transformer pads lack minimum 12-inch horizontal and vertical clearance from other underground utili	Are utility lines (water, wastewater, storm drain) shown relative to the transformer pad locations o
20260507T120701681Z-3msy	EL-1.37	horizontal	yes	generic	measurement	no	0.92	The agent is asking a presence and labeling question (are trees shown, are they labeled with species/schedule references) rather than performing a clearance measurement. This is a progressive verification step to identify whether trees and their documentation exist before evaluating compatibility and distances.	vision	True		Trees proposed within 10 lateral feet of overhead distribution conductors or 50 lateral feet of over	Are there trees shown on the landscape plan near the overhead electric lines? Are any trees labeled 
20260507T120704749Z-a52r	EL-1.37	horizontal	yes	generic	measurement	no	0.95	The agent is asking for a label/table readout of tree species names from the landscape plan legend or schedule, not a measurement of distances or a drawing inspection of spatial relationships. This is a straightforward data extraction task (what species are listed for specific tree categories), which is a generic visual question despite the broader requirement involving clearance measurements.	vision	True		Trees proposed within 10 lateral feet of overhead distribution conductors or 50 lateral feet of over	"On the tree list, what specific species are listed for the trees marked as ""M"" (Mitigation Trees) an"
20260507T120716391Z-krqe	EL-2.12	not-applicable	no	drawing_inspect		no	0.95	The agent is asking whether dimension lines exist on the landscape plan and what they reference (pole vs. conductor vs. canopy edge) — this is a drawing-symbol and spatial-relationship inspection task, not a measurement task. The agent is identifying how clearances are *shown* in the drawing, not performing an independent measurement.	vision	True	specialist_script_not_found_in_bureau	Tree clearances measured from utility pole centerline or structure instead of from outer electric co	On the landscape plan, are there any dimension lines showing clearances between trees and the overhe
20260507T120716757Z-u2uh	EL-13.1	horizontal	yes	measurement	measurement	yes	0.98	The agent is directly asking for exact clearance distances between transformer pads and building walls, and whether the 5-foot minimum requirement is met—this is a plan-view distance measurement task, not a presence check or drawing-symbol inspection.	vision	True	measurement_arg_construction_not_implemented	Transformer pads lack minimum 5-foot clearance from buildings, structures, and building foundations	Specifically for Pad 2 (near Building 2, Unit 201) and Pad 3 (near Building 8, Unit 801), what are t
20260507T120727510Z-f8rr	EL-13.38	horizontal	yes	generic	measurement	no	0.92	The agent is asking a two-part presence question: (1) whether transformer pads exist within 4 feet of vehicle areas, and (2) whether bollards are shown to protect them. This is feature and symbol identification on the drawing, not a measurement of clearance or spacing. The actual bollard spacing/diameter verification would come later as a drawing_inspect or measurement task.	vision	True		Equipment pad installed within 4 feet of parking areas or vehicle routes lacks required 4-inch minim	Are any transformer pads located within 4 feet of parking areas, drive aisles, or vehicle circulatio
20260507T120727562Z-9nhh	EL-2.14	not-applicable	no	drawing_inspect		no	0.92	The agent is asking about the presence and spatial relationship of overhead electric infrastructure relative to property boundaries and tree locations on the survey drawing. This requires reasoning about lines, symbols, and spatial relationships in the drawing rather than measuring a specific distance, and it is a sub-feature identification step before any clearance measurement can occur.	vision	True	specialist_script_not_found_in_bureau	Trees not shown on landscape plan in relation to overhead electric facilities, preventing clearance 	Is the overhead electric utility line or poles shown on this existing conditions survey? Where is it
20260507T120729840Z-8u30	EL-1.7	not-applicable	no	generic		no	0.95	The agent is performing a two-part presence and content check: first, whether building elevation sheets exist in the set, and second, whether those sheets contain surveyed elevations and clearance dimensions. This is sheet discovery and document-content verification, not a measurement or drawing-inspection task. The actual clearance verification would come later if these sheets are found.	vision	True		Surveyed elevations and locations of overhead conductors not included on building elevation sheets t	Are there any building elevation sheets in this site plan set? If yes, do they show surveyed elevati
20260507T120731770Z-zz4l	EL-2.6	horizontal	yes	measurement	measurement	yes	0.92	"The agent question asks whether trees are placed within approximately 10 feet of utility poles at a specific plan scale (1""=20'), which is a direct distance/clearance measurement task. Although the question begins with a presence check (are poles shown?), the core compliance verification requires measuring the lateral distance between trees and poles against the 10-foot threshold."	vision	True	measurement_arg_construction_not_implemented	Trees proposed within 10 lateral feet of overhead electric utility pole	On the landscape plan, are utility pole locations shown? If so, are there any trees (shown as circul
20260507T120735349Z-ctps	EL-13.13	horizontal	yes	measurement	measurement	yes	0.92	The agent is asking for identification of trees within a specific lateral distance (10 feet) of transformer pads, which requires plan-view distance measurement between tree locations and pad-mounted equipment to determine compliance with the checklist requirement.	vision	True	measurement_arg_construction_not_implemented	Trees within 10 lateral feet of pad-mounted equipment are not identified as utility-compatible speci	Are there any trees shown on the landscape or site plan within 10 lateral feet of any of the five tr
20260507T120739254Z-zyge	EL-2.6	horizontal	yes	measurement	measurement	yes	0.85	The agent is asking for both presence and distance information; the core compliance question requires measuring lateral distance between trees and poles, which is a measurement task. The presence check is a prerequisite, but the agent's primary intent is to determine clearance compliance.	vision	True	measurement_arg_construction_not_implemented	Trees proposed within 10 lateral feet of overhead electric utility pole	Are any utility poles (vertical structures) shown on the landscape plan? If so, where are they locat
20260507T120743409Z-lcel	EL-13.33	not-applicable	no	drawing_inspect		no	0.92	The agent is asking about spatial relationships between transformer pads and property boundaries/easements on the plat—whether features are shown within or outside specific drawn areas. This requires reasoning about lines, symbols, and spatial positioning in the drawing rather than measuring a specific distance or taking a presence inventory.	vision	True	specialist_script_not_found_in_bureau	Transformer pads not located 100% on private property, located in public right-of-way, or straddling	Are transformer pads or any electrical equipment shown on the plat? If shown, are they clearly withi
20260507T120750923Z-2s31	EL-13.37	not-applicable	no	generic		no	0.95	The agent is asking whether transformer pad dimensions are present and labeled on the plan—a presence and label-readout check—rather than measuring or comparing dimensions against a standard. This is a progressive verification step before the actual compliance check (dimension matching against approved details) would occur.	vision	True		Transformer pad dimensions do not match Austin Energy Design-approved transformer pad detail sheets 	Are specific transformer pad dimensions shown on the electrical design plan? Are these dimensions la
20260507T120800768Z-2bb9	EL-1.7	not-applicable	no	generic		no	0.95	The agent is asking whether building elevation sheets exist in the plan set and whether they display overhead conductor information — this is a sheet-discovery and document-presence check, not a measurement or drawing-inspection task. The actual clearance verification (measurement) would come only after confirming these sheets are present.	vision	True		Surveyed elevations and locations of overhead conductors not included on building elevation sheets t	Are there any building elevation sheets shown in this site plan set that display surveyed overhead c
20260507T120808346Z-ncyp	EL-13.38	horizontal	yes	generic	measurement	no	0.92	The agent is asking a two-part presence/location question: (1) whether transformer pads exist within 4 feet of parking/vehicle routes, and (2) whether bollards are shown in details—this is progressive verification to identify which pads require bollard inspection before measuring clearances or evaluating bollard spacing. The measurement and drawing_inspect checks come later.	vision	True		Equipment pad installed within 4 feet of parking areas or vehicle routes lacks required 4-inch minim	Are any of the 5 transformer pads located within 4 feet of parking areas, drive aisles, or vehicle c
20260507T120808822Z-198f	EL-13.1	horizontal	yes	drawing_inspect	measurement	no	0.92	The agent is asking for spatial relationship identification (location of transformer pads relative to buildings) and presence of dimension callouts on the drawing—both drawing_inspect tasks. While the checklist requirement ultimately requires a clearance measurement, the agent question is a preliminary drawing-analysis step to identify transformer pad positions and any existing dimension annotations before performing actual clearance measurements.	vision	True	specialist_script_not_found_in_bureau	Transformer pads lack minimum 5-foot clearance from buildings, structures, and building foundations	On the Utility Tap Plan, where are the transformer pads (marked with 'T' symbol per the legend) loca
20260507T120809684Z-uqc1	EL-2.11	not-applicable	no	drawing_inspect		no	0.95	The agent is asking whether trees are visually differentiated by size category on the landscape plan through symbols, colors, or notations—a drawing-representation question. While the checklist requirement ultimately concerns clearance verification (a measurement task), the agent's current question is narrower and focuses on identifying how trees are depicted and distinguished in the drawing itself, not on measuring distances.	vision	True	specialist_script_not_found_in_bureau	Large trees (mature height 40+ feet per ECM Appendix F) not differentiated on plans to allow verific	On the landscape plan, are trees marked, labeled, or otherwise visually differentiated by size categ
20260507T120812218Z-66us	EL-13.35	not-applicable	no	drawing_inspect		no	0.85	The agent is asking whether easements are shown/labeled on the plan and requesting identification of easement width from the drawing itself. This is a drawing-inspection task (presence and labeling of easement lines/symbols), not a measurement task, because the width is being read from plan annotations rather than measured between physical features.	vision	True	specialist_script_not_found_in_bureau	Transformer easements not shown around pads, or easement width inadequate for Austin Energy accessib	Are transformer easements shown or labeled on the site plan around the transformer pad locations? Wh
20260507T120812555Z-z81s	EL-2.7	horizontal	yes	generic	measurement	no	0.95	The agent is asking a presence and location identification question (where are transformers shown, are they labeled), which is a sheet-discovery and feature-identification task. The actual 10-foot clearance measurement between trees and equipment would come as a follow-up; this question is the prerequisite progressive verification step.	vision	True		Trees proposed within 10 lateral feet of pad-mounted electric equipment, or between equipment access	On the electrical design plan, where are the electrical transformers and pad-mount equipment shown? 
20260507T120831886Z-7z0g	EL-13.36	not-applicable	no	drawing_inspect		no	0.92	The agent is asking whether electrical routing lines are shown on the plan and how they are spatially positioned relative to property boundaries and easements—this requires reasoning about line paths, symbols, and spatial relationships in the drawing, not a precise distance measurement between two fixed points.	vision	True	specialist_script_not_found_in_bureau	Electrical routing from transformer to meter not 100% on private property	Are electrical lines routing from transformer pads to meters shown on the electrical plan? Are these
20260507T120837323Z-dpm8	EL-1.8	not-applicable	no	drawing_inspect		no	0.92	The agent is asking whether dimension lines and spatial relationships are shown in section/profile views—a drawing-composition and symbol-presence question, not a measurement of actual distances. This is progressive verification (checking if the required drawing elements exist) before any clearance measurement would occur.	vision	True	specialist_script_not_found_in_bureau	Section and plan view exhibits do not show dimensions from outer electric conductor to outermost edg	Are there any section or profile views showing the relationship between the overhead electric line a
20260507T120841376Z-jvfs	EL-2.1	horizontal	yes	drawing_inspect	measurement	no	0.92	The agent is asking for identification of tree species symbols and labels on the landscape plan, which requires reading and interpreting drawing symbols and annotations rather than measuring distances. This is a sub-feature identification step (what species are marked?) that precedes the actual lateral-distance measurement that the checklist requirement ultimately demands.	vision	True	specialist_script_not_found_in_bureau	Non-utility-compatible trees proposed within 15 lateral feet of overhead electric distribution condu	"Looking at the mitigation trees (marked ""M"") and other planting symbols near the overhead electric l"
20260507T120917710Z-c60c	EL-1.20	vertical-or-mixed	no	generic	drawing_inspect	no	0.95	The agent is performing a presence check to determine whether transmission-level electric lines exist on the plans at all, which is a prerequisite to the clearance measurement. This is sheet discovery and feature identification, not yet a measurement or drawing-relationship inspection.	vision	True		Final road and driveway grades do not maintain minimum 30-foot vertical clearance from electric tran	Are there any electric transmission lines (69kV, 138kV, or 345kV voltage levels) indicated on the ut
