department	checklist_item_id	run1_status	run2_status	run3_status	vote_split	majority_status	confidence	is_high_variance
crc-sp	SP-3.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-31.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-32.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-33.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-34.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-36.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-37.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-40.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-42.1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-sp	SP-45.1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-sp	SP-47.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-50.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-6.1	failed	failed	failed	3-0	failed	high	FALSE
crc-sp	SP-7.1	failed	failed	failed	3-0	failed	high	FALSE
crc-tpw	TPW-1.1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-tpw	TPW-10.1	failed	failed	failed	3-0	failed	high	FALSE
crc-tpw	TPW-12.1	failed	failed	failed	3-0	failed	high	FALSE
crc-tpw	TPW-13.1	failed	failed	failed	3-0	failed	high	FALSE
crc-tpw	TPW-14.1	failed	failed	failed	3-0	failed	high	FALSE
crc-tpw	TPW-15.1	failed	failed	failed	3-0	failed	high	FALSE
crc-tpw	TPW-16.1	failed	failed	failed	3-0	failed	high	FALSE
crc-tpw	TPW-19.1	failed	failed	failed	3-0	failed	high	FALSE
crc-tpw	TPW-3.1	failed	failed	failed	3-0	failed	high	FALSE
crc-tpw	TPW-TCP-FYI.1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-wq	WQ-0.1	failed	failed	failed	3-0	failed	high	FALSE
crc-wq	WQ-1.1	resolved	resolved	resolved	3-0	resolved	high	FALSE
crc-wq	WQ-10.1	failed	failed	failed	3-0	failed	high	FALSE
crc-wq	WQ-11.1	failed	failed	failed	3-0	failed	high	FALSE
crc-wq	WQ-12.1	failed	failed	failed	3-0	failed	high	FALSE
crc-wq	WQ-13.1	failed	failed	failed	3-0	failed	high	FALSE
crc-wq	WQ-14.1	failed	failed	failed	3-0	failed	high	FALSE
crc-wq	WQ-15.1	failed	failed	failed	3-0	failed	high	FALSE
crc-wq	WQ-2.1	failed	failed	failed	3-0	failed	high	FALSE
crc-wq	WQ-3.1	failed	failed	failed	3-0	failed	high	FALSE
crc-wq	WQ-4.1	failed	failed	failed	3-0	failed	high	FALSE
crc-wq	WQ-6.1	failed	failed	failed	3-0	failed	high	FALSE
