item_id	item_text	expected_vision	expected_specialist	notes	run_1_vision_check	run_2_vision_check	run_3_vision_check	majority_vision_check	vision_check_call_id	no_call_verdict	no_call_verdict_reason
EL-1.32	Overhead electric line crossings of roadways not oriented at 90-degree angle to road	no	none	classification=not-applicable; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.33	Secondary overhead electric lines cross over primary overhead electric lines	no	none	classification=not-applicable; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.34	Marquee signs lack clearance verification or do not provide profile exhibits showing dimensions from sign to existing electrical poles including all conductors and neutral line	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.35	New power poles for underground service located less than 20 feet from existing power poles	yes	measure-distance	subClassification=distance-only	none	none	none	none		valid_not_applicable	"3 n/a across 3 runs — checklist item not triggered on this site. Agent: ""New power pole spacing requirement does not apply."""
EL-1.36	Decorative lighting proposed under existing overhead electric lines does not meet clearance requirements or is not relocated	yes	measure-distance	subClassification=distance-only	none	none	none	none		mixed	Runs disagreed: 2 not-verifiable + 1 n/a. No dominant signal; needs manual review.
EL-1.37	Trees proposed within 10 lateral feet of overhead distribution conductors or 50 lateral feet of overhead transmission conductors are not from Utility Compatible Shade Trees list, or site grading does not meet required clearances from transmission facilities	yes	measure-distance	subClassification=distance-plus	generic	generic	generic	generic	run-1:20260511T223121604Z-v71p; run-2:20260511T220549733Z-vk6r; run-3:20260511T221653301Z-n6cs	n/a	n/a
EL-1.38	Proposed meter locations obstructed by site features, structures, or landscaping	no	none	classification=not-applicable; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.39	Proposed development does not maintain required clearances from existing streetlights	yes	measure-distance	subClassification=distance-only	none	none	none	none		invalid_probable	"3 not-verifiable — agent gave up across all 3 runs without invoking measurement. No explicit ""no dimensions"" phrase, but reasoning (Without dimension annotations confirming distances from buildings to existing streetlight poles, the adequacy of clearances cannot be verif…) suggests measure-distance could have helped."
EL-1.4	Gas pump canopies do not maintain required clearances from overhead electric lines	yes	measure-distance	subClassification=distance-only	none	none	none	none		valid_not_applicable	"3 n/a across 3 runs — checklist item not triggered on this site. Agent: ""This item is not applicable."""
EL-1.40	Down guy wires conflicting with accessible paths, driveways, or other site features not resolved through pole relocation or conversion to self-supporting steel poles	yes	measure-distance	subClassification=distance-only	none	none	none	none		valid_other_data_gap	"3 not-verifiable — gap is non-spatial (textual/schedule data missing); measure-distance can't address it. Agent: ""Note: Electric utility infrastructure is frequently omitted or incompletely shown on site plans."""
EL-1.41	Guy easements for down guy anchors not provided extending 10 feet either side of guy wire plus 50 feet beyond end of anchor	no	none	classification=not-applicable; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.42	Down guy anchor points lack dedicated easement 10 feet wide extending 5 feet past where down guy enters ground	no	none	classification=not-applicable; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.43	Transformers do not maintain minimum 7.5-foot vertical sky-to-ground clearance from overhead electric lines	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.44	Transformers and switchgears in niche service configurations do not maintain minimum 35-foot vertical clearance inside niche and niche entrance	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.45	Construction staging areas, equipment operation zones, and work platforms do not maintain minimum 10-foot radial clearance from energized overhead electric lines per OSHA and Texas law	yes	measure-distance	subClassification=distance-only	none	none	none	none		invalid_probable	"3 not-verifiable — agent gave up across all 3 runs without invoking measurement. No explicit ""no dimensions"" phrase, but reasoning (Without dimension callouts or clearance zone markings on the construction logistics plan showing the required 10-foot construction clearanc…) suggests measure-distance could have helped."
EL-1.46	Plans do not include required note that owner/contractor must notify Austin Energy at least 48 hours before work begins near high-voltage overhead lines	no	none	classification=not-applicable; shouldCall=no	none	none	generic	none	run-3:20260511T222210925Z-4ho0; run-3:20260511T223638611Z-m311	valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.47	Service-mast through-roof installations do not maintain minimum 3-foot clearance above roof, or 18-inch clearance if within 4 feet of roof edge, for voltages ≤300V	no	none	classification=not-applicable; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.5	Stairs, elevated walkways, and elevated platforms do not maintain minimum 15-foot radial clearance from overhead electric distribution facilities	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.6	Buildings do not maintain minimum 7.5-foot horizontal sky-to-ground clearance and 15-foot radial clearance from overhead electric facilities in right-of-way adjacent to site	yes	measure-distance	subClassification=distance-only	none	none	none	none		mixed	Runs disagreed: 2 not-verifiable + 1 pass. No dominant signal; needs manual review.
EL-1.7	Surveyed elevations and locations of overhead conductors not included on building elevation sheets to demonstrate required clearances are met	no	none	classification=not-applicable; shouldCall=no	none	none	generic	none	run-3:20260511T222346412Z-09qw	valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.8	Section and plan view exhibits do not show dimensions from outer electric conductor to outermost edge of buildings and building projections for clearance verification	no	none	classification=not-applicable; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-1.9	Fences do not maintain minimum 7.5-foot horizontal sky-to-ground clearance from outside conductor of overhead electric facilities	yes	measure-distance	subClassification=distance-only	none	none	none	none		mixed	Runs disagreed: 2 not-verifiable + 1 pass. No dominant signal; needs manual review.
EL-13.1	Transformer pads lack minimum 5-foot clearance from buildings, structures, and building foundations	yes	measure-distance	subClassification=distance-only	measurement	measurement	measurement	measurement	run-1:20260511T220202779Z-i7aw; run-2:20260511T220549734Z-847w; run-2:20260511T223121605Z-85z3; run-2:20260511T224807933Z-oh70; run-3:20260511T220549735Z-2mch	n/a	n/a
EL-13.10	Transformer pad hot-stick use area (access door side) lacks minimum 10-foot clearance to open area or adjacent building/structure	yes	measure-distance	subClassification=distance-plus	generic	measurement	measurement	measurement	run-1:20260511T221229433Z-teal; run-2:20260511T223811456Z-na11; run-3:20260511T221653299Z-gpts	n/a	n/a
EL-13.11	Transformer pad hot-stick use area (access door side) lacks minimum 15-foot clearance when facing confined space (niche, vault, or enclosed area on 3+ sides)	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-13.12	Transformer pads lack minimum 5-foot clearance from fire hydrants	yes	measure-distance	subClassification=distance-only	none	measurement	measurement	measurement	run-2:20260511T233203925Z-h2j9; run-3:20260511T224807935Z-tc5o	n/a	n/a
EL-13.13	Trees within 10 lateral feet of pad-mounted equipment are not identified as utility-compatible species per ECM Appendix F, or trees within 15 lateral feet of overhead electric distribution conductors are not utility-compatible	yes	measure-distance	subClassification=distance-plus	generic	measurement	measurement	measurement	run-1:20260511T224746124Z-fp4q; run-2:20260511T225717234Z-1k1w; run-3:20260511T225835692Z-bkrn	n/a	n/a
EL-13.14	Shrubs or low-lying vegetation lack minimum 10 lateral feet clearance from transformer access door side, or lack minimum 5 lateral feet clearance from other sides (non-access door)	yes	measure-distance	subClassification=distance-plus	none	measurement	none	none	run-2:20260511T233857971Z-pw77	mixed	Runs disagreed: 1 not-verifiable + 1 n/a + 1 fail. No dominant signal; needs manual review.
EL-13.15	Trees within 20 lateral feet of underground electric equipment lack required root barriers (minimum 4 feet deep, installed 5 feet from equipment)	yes	measure-distance	subClassification=distance-plus	none	none	none	none		mixed	Runs disagreed: 2 not-verifiable + 1 n/a. No dominant signal; needs manual review.
EL-13.16	Transformer pads lack minimum 5-foot clearance from dumpsters	yes	measure-distance	subClassification=distance-only	none	measurement	measurement	measurement	run-2:20260511T233939643Z-wm0t; run-3:20260511T224751143Z-e90e	n/a	n/a
EL-13.17	Transformer pads lack minimum 5-foot clearance from bike racks	yes	measure-distance	subClassification=distance-only	none	measurement	none	none	run-2:20260511T234001101Z-0ptt	valid_not_applicable	2 n/a + 1 pass across 3 runs — checklist item not triggered on this site.
EL-13.18	Transformer pads lack minimum 5-foot clearance from light poles	yes	measure-distance	subClassification=distance-only	none	none	none	none		valid_not_applicable	1 not-verifiable + 2 n/a across 3 runs — checklist item not triggered on this site.
EL-13.19	Transformer pads lack minimum 15-foot clearance from fire lanes	yes	measure-distance	subClassification=distance-only	none	measurement	measurement	measurement	run-2:20260511T234132603Z-rbex; run-3:20260511T223710088Z-xgee	n/a	n/a
EL-13.2	Transformer pads lack minimum 5-foot clearance from retaining walls	yes	measure-distance	subClassification=distance-only	none	measurement	measurement	measurement	run-2:20260511T233611757Z-begk; run-3:20260511T224403531Z-nmla	n/a	n/a
EL-13.20	Transformer pads lack minimum 5-foot clearance from other transformer pads	yes	measure-distance	subClassification=distance-only	none	measurement	none	none	run-2:20260511T234254459Z-yseq	valid_not_applicable	"2 n/a + 1 pass across 3 runs — checklist item not triggered on this site. Agent: ""This project shows a single electrical service delivery system; therefore, the inter-pad spacing requirement does not apply."""
EL-13.21	Transformer pads lack minimum 5-foot horizontal clearance from water lines	yes	measure-distance	subClassification=distance-only	none	measurement	measurement	measurement	run-2:20260511T230532801Z-yea5; run-3:20260511T222410626Z-9po9	n/a	n/a
EL-13.22	Transformer pads lack minimum 5-foot horizontal clearance from wastewater lines	yes	measure-distance	subClassification=distance-only	none	measurement	measurement	measurement	run-2:20260511T231753080Z-q14l; run-3:20260511T223121610Z-u9g4	n/a	n/a
EL-13.23	Transformer pads lack minimum 5-foot horizontal clearance from storm drain lines	yes	measure-distance	subClassification=distance-only	none	measurement	measurement	measurement	run-2:20260511T231919019Z-cm3r; run-3:20260511T231214670Z-13fz	n/a	n/a
EL-13.24	Transformer pads lack minimum horizontal clearance from gas lines (24 inches minimum for gas pipelines less than 60 psi, 36 inches minimum for high-pressure gas 60 psi and over)	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-13.25	Transformer pads lack minimum 12-inch horizontal and vertical clearance from other underground utilities (except gas, fuel, steam)	no	none	classification=vertical-or-mixed; shouldCall=no	generic	none	measurement	3-way-tie	run-1:20260511T223658082Z-c1f8; run-3:20260511T232705227Z-d0xl	n/a	n/a
EL-13.26	Transformer pads or AE underground facilities located over or under other utility lines, or customer buildings/foundations/structures installed over AE underground facilities	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-13.27	Transformer locations lack minimum 7.5-foot horizontal sky-to-ground clearance from overhead distribution line conductors (primary, neutral, and secondary), extending from ground to sky	yes	measure-distance	subClassification=distance-only	none	none	none	none		valid_not_applicable	1 not-verifiable + 2 n/a across 3 runs — checklist item not triggered on this site.
EL-13.28	Transformer locations or proposed facilities lack minimum 15-foot radius clearance from overhead distribution primary and neutral conductors (measured from conductors, not pole centerline)	yes	measure-distance	subClassification=distance-only	none	measurement	none	none	run-2:20260511T233650940Z-jfol	valid_not_applicable	2 n/a + 1 pass across 3 runs — checklist item not triggered on this site.
EL-13.29	Transformer locations in enclosed or notched-out areas (niches) lack minimum 35-foot vertical clearance inside niche and niche entrance, or lack cross-section drawings demonstrating clearance	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-13.3	Transformer pads lack required clearance from fences and gates - 5 feet for sides with operators/controls, 3 feet for sides without operators/controls (from removable ventilated fences)	yes	measure-distance	subClassification=distance-only	none	measurement	none	none	run-2:20260511T233627970Z-54a8	valid_not_applicable	"1 not-verifiable + 2 n/a across 3 runs — checklist item not triggered on this site. Agent: ""The applicability condition (fences or gates adjacent to pads) is not met, therefore this item does not apply."""
EL-13.30	Niche service installations lack required 3-hour fire wall rating for walls and ceilings, proper ventilation specifications, or documentation of consultation with Austin Energy Design business unit	no	none	classification=not-applicable; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-13.31	Cross-section drawings not provided showing vertical clearances in access paths with overhead structures, parking garages, or enclosed areas	no	none	classification=not-applicable; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-13.32	Grading plan shows drainage slopes toward building from oil-filled transformer pad location (liquid flow must be away from building)	no	none	classification=not-applicable; shouldCall=no	none	none	generic	none	run-3:20260511T224852983Z-powl	valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-13.33	Transformer pads not located 100% on private property, located in public right-of-way, or straddling property lines	no	none	classification=not-applicable; shouldCall=no	none	generic	measurement	3-way-tie	run-2:20260511T225830048Z-hgz3; run-3:20260511T222035423Z-zrs1	n/a	n/a
EL-13.34	Transformer pads located in prohibited easements including drainage easements, water easements, sewer easements, or electrical easements under overhead lines without Austin Energy Design written approval	no	none	classification=not-applicable; shouldCall=no	none	generic	generic	generic	run-2:20260511T234209399Z-vb81; run-3:20260511T223638612Z-nnvu	n/a	n/a
EL-13.35	Transformer easements not shown around pads, or easement width inadequate for Austin Energy accessibility requirements	no	none	classification=not-applicable; shouldCall=no	none	none	generic	none	run-3:20260511T223811458Z-e3ff	valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-13.36	Electrical routing from transformer to meter not 100% on private property	no	none	classification=not-applicable; shouldCall=no	none	none	measurement	none	run-3:20260511T230040122Z-f3rz	valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-13.37	Transformer pad dimensions do not match Austin Energy Design-approved transformer pad detail sheets for specified service type (single-phase or three-phase)	no	none	classification=not-applicable; shouldCall=no	generic	measurement	generic	generic	run-1:20260511T223121604Z-jccp; run-2:20260511T225341695Z-sjuf; run-3:20260511T222356012Z-o2us	n/a	n/a
EL-13.38	Equipment pad installed within 4 feet of parking areas or vehicle routes lacks required 4-inch minimum diameter galvanized rigid metal posts (bollards) per AE Design equipment pad details, or bollards not spaced to allow equipment door opening	yes	measure-distance	subClassification=distance-plus	generic	generic	generic	generic	run-1:20260511T222351923Z-q7aj; run-2:20260511T224350391Z-bqw6; run-3:20260511T222210921Z-pqib	n/a	n/a
EL-13.39	Customer facilities (buildings, parking garages, light poles, signs, billboards, chimneys, antennas, tanks) installed under or over Austin Energy overhead distribution facilities	yes	measure-distance	subClassification=distance-only	none	none	none	none		valid_not_applicable	"3 n/a across 3 runs — checklist item not triggered on this site. Agent: ""The applicability condition (customer facilities under overhead lines) is not present, therefore this item does not apply."""
EL-13.4	Transformer pads with reduced clearances (3 feet to brick/masonry buildings) lack documentation of Austin Energy Design written approval or do not meet required conditions (not in confined space, 10 ft+ to windows/doors/ducts, 15 ft+ vertical clearance to windows/doors/ducts, 3-hour fire rating)	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-13.5	Transformer pads lack minimum 5-foot lateral clearance from balconies and building overhangs, or have coverings/structures directly above pad or minimum equipment area	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-13.6	Transformer pads lack minimum 12-foot horizontal clearance from windows, doors, or ventilating ducts when window/door/duct is less than 12 feet from grade or has less than 5 feet lateral separation (oil-filled equipment)	no	none	classification=vertical-or-mixed; shouldCall=no	none	none	none	none		valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-13.7	Transformer pads not located minimum 2 feet from back of sidewalks	yes	measure-distance	subClassification=distance-only	measurement	measurement	none	measurement	run-1:20260511T222214020Z-i70z; run-2:20260511T233420583Z-vch2	n/a	n/a
EL-13.8	Transformer pads lack required clearance from stairwells serving as fire exits	yes	measure-distance	subClassification=distance-only	none	none	none	none		valid_not_applicable	"3 n/a across 3 runs — checklist item not triggered on this site. Agent: ""The applicability condition (stairwells adjacent to pads) is not present, therefore this item does not apply."""
EL-13.9	Transformer pads lack minimum 20-foot horizontal/radial clearance from fire escapes or stairs serving as fire escapes (oil-filled equipment)	yes	measure-distance	subClassification=distance-plus	generic	none	none	none	run-1:20260511T223900080Z-cr03	valid_not_applicable	"3 n/a across 3 runs — checklist item not triggered on this site. Agent: ""The applicability trigger (fire escapes present) is not present, therefore this item does not apply to this project."""
EL-2.1	Non-utility-compatible trees proposed within 15 lateral feet of overhead electric distribution conductor or equipment	yes	measure-distance	subClassification=distance-plus	generic	generic	measurement	generic	run-1:20260511T220549736Z-8hii; run-1:20260511T233611756Z-10jy; run-1:20260511T234201070Z-exrc; run-2:20260511T220549737Z-w03y; run-2:20260511T223638611Z-1ny9; run-3:20260511T220549739Z-zn5l	n/a	n/a
EL-2.10	Plant legend or plant schedule does not identify species of trees proposed near electric facilities	no	none	classification=not-applicable; shouldCall=no	generic	generic	generic	generic	run-1:20260511T222035429Z-1kna; run-2:20260511T222035429Z-pa5i; run-3:20260511T221653300Z-eb23	n/a	n/a
EL-2.11	Large trees (mature height 40+ feet per ECM Appendix F) not differentiated on plans to allow verification of clearances from overhead electric facilities	no	none	classification=not-applicable; shouldCall=no	generic	generic	none	generic	run-1:20260511T222346405Z-yqet; run-2:20260511T222406801Z-3v6m	n/a	n/a
EL-2.12	Tree clearances measured from utility pole centerline or structure instead of from outer electric conductor	no	none	classification=not-applicable; shouldCall=no	generic	none	generic	generic	run-1:20260511T223638610Z-9h8q; run-3:20260511T222346406Z-rion	n/a	n/a
EL-2.13	Tree clearances measured from tree canopy instead of from tree trunk (planting location)	no	none	classification=not-applicable; shouldCall=no	generic	none	none	none	run-1:20260511T223658520Z-q18s	valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-2.14	Trees not shown on landscape plan in relation to overhead electric facilities, preventing clearance verification	no	none	classification=not-applicable; shouldCall=no	generic	generic	none	generic	run-1:20260511T222358618Z-0v52; run-1:20260511T233850151Z-d3z2; run-2:20260511T222346405Z-xiyw; run-2:20260511T223655278Z-84b6	n/a	n/a
EL-2.15	Plans propose trees within prohibited clearance zones without documented Austin Energy written approval	no	none	classification=not-applicable; shouldCall=no	generic	none	none	none	run-1:20260511T233939643Z-d4lp	valid_not_expected	expected_vision=no in `expected.tsv`; agent correctly did not invoke vision_check.
EL-2.2	Non-utility-compatible trees proposed within 50 lateral feet of overhead electric transmission conductor or equipment	yes	measure-distance	subClassification=distance-plus	generic	none	none	none	run-1:20260511T225341799Z-bib4	valid_not_applicable	"1 not-verifiable + 2 n/a across 3 runs — checklist item not triggered on this site. Agent: ""This item does not apply."""
EL-2.3	Large trees (mature height 40+ feet per ECM Appendix F) proposed within 25 lateral feet of overhead electric distribution conductor or equipment	yes	measure-distance	subClassification=distance-plus	measurement	generic	none	3-way-tie	run-1:20260511T233302207Z-1h4q; run-2:20260511T224350387Z-mwa3	n/a	n/a
EL-2.4	Large trees (mature height 40+ feet per ECM Appendix F) proposed within 50 lateral feet of overhead electric transmission conductor or equipment	yes	measure-distance	subClassification=distance-plus	none	none	none	none		valid_not_applicable	"1 not-verifiable + 2 n/a across 3 runs — checklist item not triggered on this site. Agent: ""This item does not apply."""
EL-2.5	Trees (any species) proposed within transmission easement boundaries	yes	measure-distance	subClassification=distance-plus	generic	none	none	none	run-1:20260511T224752441Z-3uek	valid_not_applicable	"1 not-verifiable + 2 n/a across 3 runs — checklist item not triggered on this site. Agent: ""This item does not apply."""
