department	checklist_item_id	ref	run	tools_used	used_vision	used_semantic_search	tool_count
crc-cm	CM-13	crc-cm:CM-13	run-1		FALSE	FALSE	0
crc-de-1	DE-0	crc-de-1:DE-0	run-1		FALSE	FALSE	0
crc-de-1	DE-1	crc-de-1:DE-1	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-de-1	DE-4	crc-de-1:DE-4	run-1		FALSE	FALSE	0
crc-de-1	DE-5	crc-de-1:DE-5	run-1		FALSE	FALSE	0
crc-de-1	DE-6	crc-de-1:DE-6	run-1		FALSE	FALSE	0
crc-de-1	DE-7	crc-de-1:DE-7	run-1	crc-vision-check	TRUE	FALSE	1
crc-de-1	DE-8	crc-de-1:DE-8	run-1		FALSE	FALSE	0
crc-de-1	DE-9	crc-de-1:DE-9	run-1		FALSE	FALSE	0
crc-de-1	DE-10	crc-de-1:DE-10	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-de-1	DE-11	crc-de-1:DE-11	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-de-1	DE-12	crc-de-1:DE-12	run-1		FALSE	FALSE	0
crc-de-1	DE-13	crc-de-1:DE-13	run-1	crc-vision-check	TRUE	FALSE	1
crc-de-1	DE-14	crc-de-1:DE-14	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-de-1	DE-15	crc-de-1:DE-15	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-de-1	DE-16	crc-de-1:DE-16	run-1		FALSE	FALSE	0
crc-de-1	DE-17	crc-de-1:DE-17	run-1		FALSE	FALSE	0
crc-de-1	DE-18	crc-de-1:DE-18	run-1		FALSE	FALSE	0
crc-de-1	DE-19	crc-de-1:DE-19	run-1		FALSE	FALSE	0
crc-de-1	DE-20	crc-de-1:DE-20	run-1		FALSE	FALSE	0
crc-de-1	DE-21	crc-de-1:DE-21	run-1		FALSE	FALSE	0
crc-de-2	DE-22	crc-de-2:DE-22	run-1	mcp__conductor_tools__crc_vision_check	TRUE	FALSE	1
crc-de-2	DE-23	crc-de-2:DE-23	run-1	mcp__conductor_tools__crc_vision_check	TRUE	FALSE	1
crc-de-2	DE-24	crc-de-2:DE-24	run-1		FALSE	FALSE	0
crc-de-2	DE-25	crc-de-2:DE-25	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-de-2	DE-26	crc-de-2:DE-26	run-1	mcp__conductor_tools__crc_vision_check	TRUE	FALSE	1
crc-de-2	DE-27	crc-de-2:DE-27	run-1		FALSE	FALSE	0
crc-de-2	DE-28	crc-de-2:DE-28	run-1		FALSE	FALSE	0
crc-de-2	DE-29	crc-de-2:DE-29	run-1		FALSE	FALSE	0
crc-de-2	DE-30	crc-de-2:DE-30	run-1		FALSE	FALSE	0
crc-de-2	DE-31	crc-de-2:DE-31	run-1	mcp__conductor_tools__crc_vision_check	TRUE	FALSE	1
crc-de-2	DE-32	crc-de-2:DE-32	run-1		FALSE	FALSE	0
crc-de-2	DE-33	crc-de-2:DE-33	run-1		FALSE	FALSE	0
crc-de-2	DE-35	crc-de-2:DE-35	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-de-2	DE-36	crc-de-2:DE-36	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-ev	EV-01	crc-ev:EV-01	run-1		FALSE	FALSE	0
crc-ev	EV-02	crc-ev:EV-02	run-1		FALSE	FALSE	0
crc-ev	EV-03	crc-ev:EV-03	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-ev	EV-04	crc-ev:EV-04	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-ev	EV-05.1	crc-ev:EV-05.1	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-ev	EV-05.2	crc-ev:EV-05.2	run-1	mcp__conductor_tools__crc_vision_check	TRUE	FALSE	1
crc-ev	EV-05.3	crc-ev:EV-05.3	run-1	mcp__conductor_tools__crc_vision_check	TRUE	FALSE	1
crc-ev	EV-05.4	crc-ev:EV-05.4	run-1	mcp__conductor_tools__crc_vision_check	TRUE	FALSE	1
crc-ev	EV-06	crc-ev:EV-06	run-1	mcp__conductor_tools__crc_vision_check	TRUE	FALSE	1
crc-ev	EV-07	crc-ev:EV-07	run-1		FALSE	FALSE	0
crc-ev	EV-08	crc-ev:EV-08	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-ev	EV-09	crc-ev:EV-09	run-1	mcp__conductor_tools__crc_vision_check	TRUE	FALSE	1
crc-ev	EV-10	crc-ev:EV-10	run-1	mcp__conductor_tools__crc_vision_check	TRUE	FALSE	1
crc-ev	EV-11	crc-ev:EV-11	run-1	mcp__conductor_tools__crc_vision_check	TRUE	FALSE	1
crc-ev	EV-12	crc-ev:EV-12	run-1	mcp__conductor_tools__crc_vision_check	TRUE	FALSE	1
crc-ev	EV-13	crc-ev:EV-13	run-1	mcp__conductor_tools__crc_vision_check	TRUE	FALSE	1
crc-ev	EV-14	crc-ev:EV-14	run-1	mcp__conductor_tools__crc_vision_check	TRUE	FALSE	1
crc-ev	EV-15	crc-ev:EV-15	run-1	mcp__conductor_tools__crc_vision_check	TRUE	FALSE	1
crc-ev	EV-18	crc-ev:EV-18	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-f	F-1.1	crc-f:F-1.1	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-f	F-1.2	crc-f:F-1.2	run-1		FALSE	FALSE	0
crc-f	F-2.1	crc-f:F-2.1	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-f	F-2.2	crc-f:F-2.2	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-f	F-3	crc-f:F-3	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-f	F-4	crc-f:F-4	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-f	F-5	crc-f:F-5	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-f	F-6	crc-f:F-6	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-f	F-7	crc-f:F-7	run-1		FALSE	FALSE	0
crc-iw	IW-0.1	crc-iw:IW-0.1	run-1	crc-vision-check,mcp__conductor_tools__run_semantic_search_blocks	TRUE	TRUE	2
crc-iw	IW-0.2	crc-iw:IW-0.2	run-1	crc-vision-check	TRUE	FALSE	1
crc-lde	LDE-1	crc-lde:LDE-1	run-1	crc-vision-check	TRUE	FALSE	1
crc-owb	OWB-5	crc-owb:OWB-5	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-pb	PB-1	crc-pb:PB-1	run-1	crc-vision-check	TRUE	FALSE	1
crc-pb	PB-2	crc-pb:PB-2	run-1	crc-vision-check,semantic-search-blocks	TRUE	TRUE	2
crc-pr	PR-3	crc-pr:PR-3	run-1		FALSE	FALSE	0
crc-pr	PR-4	crc-pr:PR-4	run-1		FALSE	FALSE	0
crc-pr	PR-5	crc-pr:PR-5	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-pr	PR-6	crc-pr:PR-6	run-1		FALSE	FALSE	0
crc-pr	PR-7	crc-pr:PR-7	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-pr	PR-8	crc-pr:PR-8	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-pr	PR-9	crc-pr:PR-9	run-1		FALSE	FALSE	0
crc-sp-1	SP-3	crc-sp-1:SP-3	run-1		FALSE	FALSE	0
crc-sp-1	SP-4	crc-sp-1:SP-4	run-1		FALSE	FALSE	0
crc-sp-1	SP-6	crc-sp-1:SP-6	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-sp-1	SP-7	crc-sp-1:SP-7	run-1		FALSE	FALSE	0
crc-sp-1	SP-8	crc-sp-1:SP-8	run-1		FALSE	FALSE	0
crc-sp-1	SP-9	crc-sp-1:SP-9	run-1		FALSE	FALSE	0
crc-sp-1	SP-10	crc-sp-1:SP-10	run-1		FALSE	FALSE	0
crc-sp-1	SP-11	crc-sp-1:SP-11	run-1		FALSE	FALSE	0
crc-sp-1	SP-12	crc-sp-1:SP-12	run-1		FALSE	FALSE	0
crc-sp-1	SP-13	crc-sp-1:SP-13	run-1		FALSE	FALSE	0
crc-sp-1	SP-15.1	crc-sp-1:SP-15.1	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-sp-1	SP-15.2	crc-sp-1:SP-15.2	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-sp-1	SP-15.3	crc-sp-1:SP-15.3	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-sp-1	SP-15.4	crc-sp-1:SP-15.4	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-sp-1	SP-16	crc-sp-1:SP-16	run-1		FALSE	FALSE	0
crc-sp-1	SP-17	crc-sp-1:SP-17	run-1		FALSE	FALSE	0
crc-sp-1	SP-18	crc-sp-1:SP-18	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-sp-1	SP-19	crc-sp-1:SP-19	run-1		FALSE	FALSE	0
crc-sp-1	SP-20	crc-sp-1:SP-20	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-sp-1	SP-21	crc-sp-1:SP-21	run-1		FALSE	FALSE	0
crc-sp-2	SP-23	crc-sp-2:SP-23	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-2	SP-24	crc-sp-2:SP-24	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-2	SP-25.1	crc-sp-2:SP-25.1	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-2	SP-25.2	crc-sp-2:SP-25.2	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-2	SP-25.3	crc-sp-2:SP-25.3	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-2	SP-25.4	crc-sp-2:SP-25.4	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-2	SP-25.5	crc-sp-2:SP-25.5	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-2	SP-26	crc-sp-2:SP-26	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-2	SP-27	crc-sp-2:SP-27	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-2	SP-29	crc-sp-2:SP-29	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-2	SP-30	crc-sp-2:SP-30	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-2	SP-31	crc-sp-2:SP-31	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-2	SP-32.1	crc-sp-2:SP-32.1	run-1	crc-vision-check,semantic-search-blocks	TRUE	TRUE	2
crc-sp-2	SP-32.2	crc-sp-2:SP-32.2	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-2	SP-32.3	crc-sp-2:SP-32.3	run-1	crc-vision-check,semantic-search-blocks	TRUE	TRUE	2
crc-sp-2	SP-33.1	crc-sp-2:SP-33.1	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-2	SP-33.2	crc-sp-2:SP-33.2	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-2	SP-34	crc-sp-2:SP-34	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-2	SP-35	crc-sp-2:SP-35	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-3	SP-36.1	crc-sp-3:SP-36.1	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-3	SP-36.2	crc-sp-3:SP-36.2	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-3	SP-36.3	crc-sp-3:SP-36.3	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-3	SP-36.4	crc-sp-3:SP-36.4	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-3	SP-37	crc-sp-3:SP-37	run-1	crc-vision-check,semantic-search-blocks	TRUE	TRUE	2
crc-sp-3	SP-40	crc-sp-3:SP-40	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-sp-3	SP-41	crc-sp-3:SP-41	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-3	SP-42	crc-sp-3:SP-42	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-3	SP-43	crc-sp-3:SP-43	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-3	SP-44	crc-sp-3:SP-44	run-1	crc-vision-check	TRUE	FALSE	1
crc-sp-3	SP-45.1	crc-sp-3:SP-45.1	run-1		FALSE	FALSE	0
crc-sp-3	SP-45.2	crc-sp-3:SP-45.2	run-1		FALSE	FALSE	0
crc-sp-3	SP-45.3	crc-sp-3:SP-45.3	run-1		FALSE	FALSE	0
crc-sp-3	SP-45.4	crc-sp-3:SP-45.4	run-1		FALSE	FALSE	0
crc-sp-3	SP-45.5	crc-sp-3:SP-45.5	run-1		FALSE	FALSE	0
crc-sp-3	SP-45.6	crc-sp-3:SP-45.6	run-1		FALSE	FALSE	0
crc-sp-3	SP-45.7	crc-sp-3:SP-45.7	run-1		FALSE	FALSE	0
crc-sp-3	SP-45.8	crc-sp-3:SP-45.8	run-1		FALSE	FALSE	0
crc-sp-3	SP-45.9	crc-sp-3:SP-45.9	run-1		FALSE	FALSE	0
crc-sp-3	SP-46	crc-sp-3:SP-46	run-1	crc-vision-check,semantic-search-blocks	TRUE	TRUE	2
crc-sp-4	SP-47	crc-sp-4:SP-47	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-sp-4	SP-48	crc-sp-4:SP-48	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-sp-4	SP-50	crc-sp-4:SP-50	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-sp-4	SP-51	crc-sp-4:SP-51	run-1		FALSE	FALSE	0
crc-tpw-1	TPW-1	crc-tpw-1:TPW-1	run-1	Read,semantic-search-blocks	FALSE	TRUE	2
crc-tpw-1	TPW-3	crc-tpw-1:TPW-3	run-1	Read,Grep,semantic-search-blocks	FALSE	TRUE	3
crc-tpw-1	TPW-6	crc-tpw-1:TPW-6	run-1	semantic-search-blocks,Read	FALSE	TRUE	2
crc-tpw-1	TPW-7	crc-tpw-1:TPW-7	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-tpw-1	TPW-8	crc-tpw-1:TPW-8	run-1	semantic-search-blocks,Read	FALSE	TRUE	2
crc-tpw-1	TPW-9	crc-tpw-1:TPW-9	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-tpw-1	TPW-10	crc-tpw-1:TPW-10	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-tpw-1	TPW-11	crc-tpw-1:TPW-11	run-1	semantic-search-blocks,Read	FALSE	TRUE	2
crc-tpw-1	TPW-12.1	crc-tpw-1:TPW-12.1	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-tpw-1	TPW-12.2	crc-tpw-1:TPW-12.2	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-tpw-1	TPW-12.3	crc-tpw-1:TPW-12.3	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-tpw-1	TPW-13.1	crc-tpw-1:TPW-13.1	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-tpw-1	TPW-13.2	crc-tpw-1:TPW-13.2	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-tpw-1	TPW-14	crc-tpw-1:TPW-14	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-tpw-1	TPW-15	crc-tpw-1:TPW-15	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-tpw-1	TPW-16	crc-tpw-1:TPW-16	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-tpw-1	TPW-17.1	crc-tpw-1:TPW-17.1	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-tpw-1	TPW-17.2	crc-tpw-1:TPW-17.2	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-tpw-1	TPW-18	crc-tpw-1:TPW-18	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-tpw-1	TPW-19	crc-tpw-1:TPW-19	run-1	semantic-search-blocks	FALSE	TRUE	1
crc-tpw-2	TPW-20	crc-tpw-2:TPW-20	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-wq	WQ-0	crc-wq:WQ-0	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-wq	WQ-1	crc-wq:WQ-1	run-1		FALSE	FALSE	0
crc-wq	WQ-2	crc-wq:WQ-2	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-wq	WQ-3.1	crc-wq:WQ-3.1	run-1	mcp__conductor_tools__crc_vision_check	TRUE	FALSE	1
crc-wq	WQ-3.2	crc-wq:WQ-3.2	run-1	mcp__conductor_tools__crc_vision_check	TRUE	FALSE	1
crc-wq	WQ-4	crc-wq:WQ-4	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-wq	WQ-6	crc-wq:WQ-6	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-wq	WQ-7	crc-wq:WQ-7	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-wq	WQ-8	crc-wq:WQ-8	run-1	mcp__conductor_tools__crc_vision_check	TRUE	FALSE	1
crc-wq	WQ-9	crc-wq:WQ-9	run-1		FALSE	FALSE	0
crc-wq	WQ-10	crc-wq:WQ-10	run-1	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-wq	WQ-11	crc-wq:WQ-11	run-1		FALSE	FALSE	0
crc-wq	WQ-12	crc-wq:WQ-12	run-1		FALSE	FALSE	0
crc-wq	WQ-13	crc-wq:WQ-13	run-1		FALSE	FALSE	0
crc-wq	WQ-14.1	crc-wq:WQ-14.1	run-1		FALSE	FALSE	0
crc-wq	WQ-14.2	crc-wq:WQ-14.2	run-1		FALSE	FALSE	0
crc-wq	WQ-15	crc-wq:WQ-15	run-1		FALSE	FALSE	0
crc-aw-redlines	AW-RL-1	crc-aw-redlines:AW-RL-1	run-2	crc-vision-check	TRUE	FALSE	1
crc-aw-redlines	AW-RL-2	crc-aw-redlines:AW-RL-2	run-2	crc-vision-check	TRUE	FALSE	1
crc-aw-redlines	AW-RL-3	crc-aw-redlines:AW-RL-3	run-2	crc-vision-check	TRUE	FALSE	1
crc-aw-redlines	AW-RL-4	crc-aw-redlines:AW-RL-4	run-2	crc-vision-check	TRUE	FALSE	1
crc-aw-redlines	AW-RL-5	crc-aw-redlines:AW-RL-5	run-2	crc-vision-check	TRUE	FALSE	1
crc-aw-redlines	AW-RL-6	crc-aw-redlines:AW-RL-6	run-2	crc-vision-check	TRUE	FALSE	1
crc-aw-redlines	AW-RL-7	crc-aw-redlines:AW-RL-7	run-2	crc-vision-check	TRUE	FALSE	1
crc-aw-redlines	AW-RL-8	crc-aw-redlines:AW-RL-8	run-2	crc-vision-check	TRUE	FALSE	1
crc-aw-redlines	AW-RL-9	crc-aw-redlines:AW-RL-9	run-2	crc-vision-check	TRUE	FALSE	1
crc-aw-redlines	AW-RL-10	crc-aw-redlines:AW-RL-10	run-2	crc-vision-check	TRUE	FALSE	1
crc-aw	AW-1.1	crc-aw:AW-1.1	run-2	crc-vision-check,mcp__conductor_tools__run_semantic_search_blocks	TRUE	TRUE	2
crc-aw	AW-1.2	crc-aw:AW-1.2	run-2	crc-vision-check	TRUE	FALSE	1
crc-aw	AW-1.3	crc-aw:AW-1.3	run-2	crc-vision-check,Read	TRUE	FALSE	2
crc-aw	AW-1.4	crc-aw:AW-1.4	run-2	crc-vision-check	TRUE	FALSE	1
crc-aw	AW-2	crc-aw:AW-2	run-2	crc-vision-check,Read	TRUE	FALSE	2
crc-awrr	AWRR-2.1	crc-awrr:AWRR-2.1	run-2		FALSE	FALSE	0
crc-awrr	AWRR-2.2	crc-awrr:AWRR-2.2	run-2	mcp__conductor_tools__run_semantic_search_blocks	FALSE	TRUE	1
crc-awrr	AWRR-3	crc-awrr:AWRR-3	run-2	mcp__conductor_tools__crc_vision_check,mcp__conductor_tools__run_semantic_search_blocks	TRUE	TRUE	2
crc-awrr	AWRR-4	crc-awrr:AWRR-4	run-2	mcp__conductor_tools__crc_vision_check,mcp__conductor_tools__run_semantic_search_blocks	TRUE	TRUE	2
crc-ca-1	CA-01.1	crc-ca-1:CA-01.1	run-2	semantic-search-blocks	FALSE	TRUE	1
crc-ca-1	CA-01.2	crc-ca-1:CA-01.2	run-2	semantic-search-blocks	FALSE	TRUE	1
crc-ca-1	CA-01.3	crc-ca-1:CA-01.3	run-2	semantic-search-blocks	FALSE	TRUE	1
crc-ca-1	CA-02	crc-ca-1:CA-02	run-2	crc-vision-check	TRUE	FALSE	1
crc-ca-1	CA-03	crc-ca-1:CA-03	run-2	crc-vision-check	TRUE	FALSE	1
crc-ca-1	CA-04	crc-ca-1:CA-04	run-2	crc-vision-check	TRUE	FALSE	1
crc-ca-1	CA-05	crc-ca-1:CA-05	run-2	crc-vision-check	TRUE	FALSE	1
crc-ca-1	CA-06	crc-ca-1:CA-06	run-2	crc-vision-check	TRUE	FALSE	1
crc-ca-1	CA-07.1	crc-ca-1:CA-07.1	run-2	crc-vision-check	TRUE	FALSE	1
crc-ca-1	CA-07.2	crc-ca-1:CA-07.2	run-2	crc-vision-check	TRUE	FALSE	1
crc-ca-1	CA-08	crc-ca-1:CA-08	run-2	crc-vision-check	TRUE	FALSE	1
crc-ca-1	CA-09	crc-ca-1:CA-09	run-2		FALSE	FALSE	0
crc-ca-1	CA-10	crc-ca-1:CA-10	run-2	crc-vision-check	TRUE	FALSE	1
crc-ca-1	CA-11	crc-ca-1:CA-11	run-2	crc-vision-check	TRUE	FALSE	1
crc-ca-1	CA-12	crc-ca-1:CA-12	run-2	crc-vision-check,semantic-search-blocks	TRUE	TRUE	2
crc-ca-1	CA-13.1	crc-ca-1:CA-13.1	run-2	crc-vision-check	TRUE	FALSE	1
crc-ca-1	CA-13.2	crc-ca-1:CA-13.2	run-2	semantic-search-blocks	FALSE	TRUE	1
