department	checklist_item_id	ref	run1_status	run2_status	run3_status	run4_status	run5_status	vote_split	majority_status	confidence	run_count	is_high_variance
crc-aw-redlines	AW-RL-1	crc-aw-redlines:AW-RL-1	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-aw-redlines	AW-RL-10	crc-aw-redlines:AW-RL-10	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-aw-redlines	AW-RL-2	crc-aw-redlines:AW-RL-2	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-aw-redlines	AW-RL-4	crc-aw-redlines:AW-RL-4	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-aw-redlines	AW-RL-5	crc-aw-redlines:AW-RL-5	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-aw-redlines	AW-RL-6	crc-aw-redlines:AW-RL-6	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-aw-redlines	AW-RL-7	crc-aw-redlines:AW-RL-7	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-aw-redlines	AW-RL-9	crc-aw-redlines:AW-RL-9	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-awrr	AWRR-3	crc-awrr:AWRR-3	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-awrr	AWRR-4	crc-awrr:AWRR-4	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-01.1	crc-ca:CA-01.1	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-01.2	crc-ca:CA-01.2	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-01.3	crc-ca:CA-01.3	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-02	crc-ca:CA-02	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-04	crc-ca:CA-04	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-05	crc-ca:CA-05	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-07.2	crc-ca:CA-07.2	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-08	crc-ca:CA-08	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-09	crc-ca:CA-09	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-10	crc-ca:CA-10	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-11	crc-ca:CA-11	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-12	crc-ca:CA-12	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-13.1	crc-ca:CA-13.1	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-13.2	crc-ca:CA-13.2	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-14	crc-ca:CA-14	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-15.1	crc-ca:CA-15.1	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-15.2	crc-ca:CA-15.2	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-16	crc-ca:CA-16	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-16.1	crc-ca:CA-16.1	MISSING	MISSING	MISSING	MISSING	failed	1	failed	low	1	FALSE
crc-ca	CA-17	crc-ca:CA-17	resolved	resolved	resolved	resolved	resolved	5	resolved	high	5	FALSE
crc-ca	CA-17.1	crc-ca:CA-17.1	MISSING	MISSING	MISSING	MISSING	resolved	1	resolved	low	1	FALSE
crc-ca	CA-18	crc-ca:CA-18	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-18.1	crc-ca:CA-18.1	MISSING	MISSING	MISSING	MISSING	failed	1	failed	low	1	FALSE
crc-ca	CA-19	crc-ca:CA-19	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-19.1	crc-ca:CA-19.1	MISSING	MISSING	MISSING	MISSING	failed	1	failed	low	1	FALSE
crc-ca	CA-20	crc-ca:CA-20	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-20.1	crc-ca:CA-20.1	MISSING	MISSING	MISSING	MISSING	failed	1	failed	low	1	FALSE
crc-ca	CA-21	crc-ca:CA-21	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ca	CA-21.1	crc-ca:CA-21.1	MISSING	MISSING	MISSING	MISSING	resolved	1	resolved	low	1	FALSE
crc-ca	CA-22	crc-ca:CA-22	failed	failed*	failed	failed	failed	5	failed	high	6	FALSE
crc-ca	CA-22.1	crc-ca:CA-22.1	MISSING	MISSING	MISSING	MISSING	failed	1	failed	low	1	FALSE
crc-cm	CM-10	crc-cm:CM-10	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-cm	CM-11	crc-cm:CM-11	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-cm	CM-12	crc-cm:CM-12	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-cm	CM-13	crc-cm:CM-13	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-cm	CM-9	crc-cm:CM-9	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-de	DE-10	crc-de:DE-10	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-de	DE-11	crc-de:DE-11	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-de	DE-12	crc-de:DE-12	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-de	DE-14	crc-de:DE-14	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-de	DE-15	crc-de:DE-15	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-de	DE-16	crc-de:DE-16	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-de	DE-18	crc-de:DE-18	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-de	DE-19	crc-de:DE-19	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-de	DE-20	crc-de:DE-20	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-de	DE-21	crc-de:DE-21	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-de	DE-29	crc-de:DE-29	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-de	DE-35	crc-de:DE-35	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-de	DE-36	crc-de:DE-36	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-de	DE-9	crc-de:DE-9	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ev	EV-04	crc-ev:EV-04	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ev	EV-06	crc-ev:EV-06	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ev	EV-09	crc-ev:EV-09	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ev	EV-10	crc-ev:EV-10	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ev	EV-11	crc-ev:EV-11	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-ev	EV-18	crc-ev:EV-18	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-f	F-2.1	crc-f:F-2.1	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-f	F-2.2	crc-f:F-2.2	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-f	F-5	crc-f:F-5	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-f	F-6	crc-f:F-6	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-f	F-7	crc-f:F-7	resolved	resolved	resolved	resolved	resolved	5	resolved	high	5	FALSE
crc-iw	IW-0.1	crc-iw:IW-0.1	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-lde	LDE-1	crc-lde:LDE-1	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-pb	PB-2	crc-pb:PB-2	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-pr	PR-5	crc-pr:PR-5	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-pr	PR-6	crc-pr:PR-6	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-pr	PR-7	crc-pr:PR-7	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-pr	PR-8	crc-pr:PR-8	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-pr	PR-9	crc-pr:PR-9	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-11	crc-sp:SP-11	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-15.1	crc-sp:SP-15.1	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-15.2	crc-sp:SP-15.2	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-15.3	crc-sp:SP-15.3	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-15.4	crc-sp:SP-15.4	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-16	crc-sp:SP-16	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-18	crc-sp:SP-18	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-19	crc-sp:SP-19	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-20	crc-sp:SP-20	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-24	crc-sp:SP-24	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-25.1	crc-sp:SP-25.1	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-25.2	crc-sp:SP-25.2	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-25.3	crc-sp:SP-25.3	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-25.4	crc-sp:SP-25.4	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-25.5	crc-sp:SP-25.5	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-26	crc-sp:SP-26	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-27	crc-sp:SP-27	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-3	crc-sp:SP-3	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-30	crc-sp:SP-30	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-31	crc-sp:SP-31	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-32.1	crc-sp:SP-32.1	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-32.2	crc-sp:SP-32.2	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-32.3	crc-sp:SP-32.3	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-33.2	crc-sp:SP-33.2	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-34	crc-sp:SP-34	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-40	crc-sp:SP-40	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-42	crc-sp:SP-42	resolved	resolved	resolved	resolved	resolved	5	resolved	high	5	FALSE
crc-sp	SP-44	crc-sp:SP-44	resolved	resolved	resolved	resolved	resolved	5	resolved	high	5	FALSE
crc-sp	SP-45.3	crc-sp:SP-45.3	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-45.4	crc-sp:SP-45.4	resolved	resolved	resolved	resolved	resolved	5	resolved	high	5	FALSE
crc-sp	SP-45.5	crc-sp:SP-45.5	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-45.6	crc-sp:SP-45.6	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-45.7	crc-sp:SP-45.7	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-45.8	crc-sp:SP-45.8	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-45.9	crc-sp:SP-45.9	resolved	resolved	resolved	resolved	resolved	5	resolved	high	5	FALSE
crc-sp	SP-51	crc-sp:SP-51	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-6	crc-sp:SP-6	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-7	crc-sp:SP-7	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-8	crc-sp:SP-8	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-sp	SP-9	crc-sp:SP-9	resolved	resolved	resolved	resolved	resolved	5	resolved	high	5	FALSE
crc-tpw	TPW-1	crc-tpw:TPW-1	resolved	resolved	resolved	resolved	resolved	5	resolved	high	5	FALSE
crc-tpw	TPW-12.1	crc-tpw:TPW-12.1	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-tpw	TPW-12.3	crc-tpw:TPW-12.3	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-tpw	TPW-13.1	crc-tpw:TPW-13.1	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-tpw	TPW-13.2	crc-tpw:TPW-13.2	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-tpw	TPW-15	crc-tpw:TPW-15	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-tpw	TPW-17.1	crc-tpw:TPW-17.1	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-tpw	TPW-17.2	crc-tpw:TPW-17.2	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-tpw	TPW-18	crc-tpw:TPW-18	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-tpw	TPW-19	crc-tpw:TPW-19	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-tpw	TPW-3	crc-tpw:TPW-3	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-wq	WQ-0	crc-wq:WQ-0	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-wq	WQ-10	crc-wq:WQ-10	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-wq	WQ-11	crc-wq:WQ-11	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	5	not-applicable	high	5	FALSE
crc-wq	WQ-12	crc-wq:WQ-12	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	5	not-applicable	high	5	FALSE
crc-wq	WQ-13	crc-wq:WQ-13	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	5	not-applicable	high	5	FALSE
crc-wq	WQ-14.1	crc-wq:WQ-14.1	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	5	not-applicable	high	5	FALSE
crc-wq	WQ-14.2	crc-wq:WQ-14.2	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	5	not-applicable	high	5	FALSE
crc-wq	WQ-15	crc-wq:WQ-15	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-wq	WQ-3.1	crc-wq:WQ-3.1	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-wq	WQ-3.2	crc-wq:WQ-3.2	resolved	resolved	resolved	resolved	resolved	5	resolved	high	5	FALSE
crc-wq	WQ-4	crc-wq:WQ-4	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-wq	WQ-6	crc-wq:WQ-6	failed	failed	failed	failed	failed	5	failed	high	5	FALSE
crc-wq	WQ-7	crc-wq:WQ-7	resolved	resolved	resolved	resolved	resolved	5	resolved	high	5	FALSE
