checklist_item_id	department	ref	total_invocations_current_run	vision_invocations	semantic_search_invocations	other_tools	historical_reviews_counted	notes
CA-04	crc-ca-1	crc-ca-1:CA-04	2	2	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-05	crc-ca-1	crc-ca-1:CA-05	2	2	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-06	crc-ca-1	crc-ca-1:CA-06	2	2	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-07.1	crc-ca-1	crc-ca-1:CA-07.1	2	2	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-07.2	crc-ca-1	crc-ca-1:CA-07.2	2	2	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-08	crc-ca-1	crc-ca-1:CA-08	3	2	1		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-09	crc-ca-1	crc-ca-1:CA-09	1	1	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-10	crc-ca-1	crc-ca-1:CA-10	2	2	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-11	crc-ca-1	crc-ca-1:CA-11	2	2	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-12	crc-ca-1	crc-ca-1:CA-12	5	2	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-13.1	crc-ca-1	crc-ca-1:CA-13.1	2	2	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-13.2	crc-ca-1	crc-ca-1:CA-13.2	3	1	2		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-14	crc-ca-1	crc-ca-1:CA-14	2	2	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-15.1	crc-ca-1	crc-ca-1:CA-15.1	1	1	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-15.2	crc-ca-1	crc-ca-1:CA-15.2	4	0	4		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-16.1	crc-ca-1	crc-ca-1:CA-16.1	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-17.1	crc-ca-1	crc-ca-1:CA-17.1	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-18.1	crc-ca-1	crc-ca-1:CA-18.1	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-19.1	crc-ca-1	crc-ca-1:CA-19.1	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-20.1	crc-ca-1	crc-ca-1:CA-20.1	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-21.1	crc-ca-1	crc-ca-1:CA-21.1	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-22	crc-ca-1	crc-ca-1:CA-22	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-22.1	crc-ca-1	crc-ca-1:CA-22.1	1	0	1		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-16	crc-ca-2	crc-ca-2:CA-16	5	1	3	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-17	crc-ca-2	crc-ca-2:CA-17	4	1	2	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-18	crc-ca-2	crc-ca-2:CA-18	6	1	4	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-19	crc-ca-2	crc-ca-2:CA-19	7	1	5	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-20	crc-ca-2	crc-ca-2:CA-20	7	1	5	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-21	crc-ca-2	crc-ca-2:CA-21	5	1	3	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CA-22	crc-ca-2	crc-ca-2:CA-22	5	1	3	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CM-9	crc-cm	crc-cm:CM-9	4	3	0	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CM-10	crc-cm	crc-cm:CM-10	3	3	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CM-11	crc-cm	crc-cm:CM-11	3	2	0	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CM-12	crc-cm	crc-cm:CM-12	4	4	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
CM-13	crc-cm	crc-cm:CM-13	3	3	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-0	crc-de-1	crc-de-1:DE-0	2	0	2		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-1	crc-de-1	crc-de-1:DE-1	4	0	4		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-4	crc-de-1	crc-de-1:DE-4	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-5	crc-de-1	crc-de-1:DE-5	4	1	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-6	crc-de-1	crc-de-1:DE-6	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-7	crc-de-1	crc-de-1:DE-7	5	5	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-8	crc-de-1	crc-de-1:DE-8	2	0	2		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-9	crc-de-1	crc-de-1:DE-9	1	1	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-10	crc-de-1	crc-de-1:DE-10	4	0	4		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-11	crc-de-1	crc-de-1:DE-11	5	1	4		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-12	crc-de-1	crc-de-1:DE-12	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-13	crc-de-1	crc-de-1:DE-13	3	3	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-14	crc-de-1	crc-de-1:DE-14	2	0	2		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-15	crc-de-1	crc-de-1:DE-15	3	0	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-16	crc-de-1	crc-de-1:DE-16	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-17	crc-de-1	crc-de-1:DE-17	1	0	1		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-18	crc-de-1	crc-de-1:DE-18	1	1	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-19	crc-de-1	crc-de-1:DE-19	1	1	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-20	crc-de-1	crc-de-1:DE-20	1	1	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-21	crc-de-1	crc-de-1:DE-21	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-22	crc-de-2	crc-de-2:DE-22	6	5	1		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-23	crc-de-2	crc-de-2:DE-23	5	5	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-24	crc-de-2	crc-de-2:DE-24	3	0	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-25	crc-de-2	crc-de-2:DE-25	5	0	5		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-26	crc-de-2	crc-de-2:DE-26	5	5	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-27	crc-de-2	crc-de-2:DE-27	1	1	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-28	crc-de-2	crc-de-2:DE-28	1	1	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-29	crc-de-2	crc-de-2:DE-29	2	2	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-30	crc-de-2	crc-de-2:DE-30	2	2	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-31	crc-de-2	crc-de-2:DE-31	5	5	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-32	crc-de-2	crc-de-2:DE-32	4	3	1		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-33	crc-de-2	crc-de-2:DE-33	0	0	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-35	crc-de-2	crc-de-2:DE-35	3	0	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
DE-36	crc-de-2	crc-de-2:DE-36	4	1	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
EV-01	crc-ev	crc-ev:EV-01	3	2	0	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
EV-02	crc-ev	crc-ev:EV-02	3	2	0	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
EV-03	crc-ev	crc-ev:EV-03	6	1	4	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
EV-04	crc-ev	crc-ev:EV-04	6	3	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
EV-05.1	crc-ev	crc-ev:EV-05.1	5	1	3	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
EV-05.2	crc-ev	crc-ev:EV-05.2	3	2	0	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
EV-05.3	crc-ev	crc-ev:EV-05.3	3	2	0	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
EV-05.4	crc-ev	crc-ev:EV-05.4	2	1	0	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
EV-06	crc-ev	crc-ev:EV-06	5	3	2		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
EV-07	crc-ev	crc-ev:EV-07	2	0	1	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
EV-08	crc-ev	crc-ev:EV-08	4	0	4		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
EV-09	crc-ev	crc-ev:EV-09	5	2	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
EV-10	crc-ev	crc-ev:EV-10	3	3	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
EV-11	crc-ev	crc-ev:EV-11	3	3	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
EV-12	crc-ev	crc-ev:EV-12	2	1	1		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
EV-13	crc-ev	crc-ev:EV-13	3	3	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
EV-14	crc-ev	crc-ev:EV-14	2	2	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
EV-15	crc-ev	crc-ev:EV-15	3	2	0	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
EV-18	crc-ev	crc-ev:EV-18	4	0	3	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
F-1.1	crc-f	crc-f:F-1.1	6	4	1	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
F-1.2	crc-f	crc-f:F-1.2	2	1	0	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
F-2.1	crc-f	crc-f:F-2.1	6	4	2		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
F-2.2	crc-f	crc-f:F-2.2	10	4	5	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
F-3	crc-f	crc-f:F-3	8	4	3	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
F-4	crc-f	crc-f:F-4	4	0	3	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
F-5	crc-f	crc-f:F-5	7	4	2	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
F-6	crc-f	crc-f:F-6	7	4	2	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
F-7	crc-f	crc-f:F-7	2	1	0	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
IW-0.1	crc-iw	crc-iw:IW-0.1	7	4	2	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
IW-0.2	crc-iw	crc-iw:IW-0.2	5	4	1		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
LDE-1	crc-lde	crc-lde:LDE-1	8	5	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
OWB-5	crc-owb	crc-owb:OWB-5	6	1	5		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
PB-1	crc-pb	crc-pb:PB-1	5	5	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
PB-2	crc-pb	crc-pb:PB-2	8	5	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
PR-3	crc-pr	crc-pr:PR-3	2	0	2		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
PR-4	crc-pr	crc-pr:PR-4	1	0	1		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
PR-5	crc-pr	crc-pr:PR-5	7	3	4		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
PR-6	crc-pr	crc-pr:PR-6	4	2	2		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
PR-7	crc-pr	crc-pr:PR-7	8	3	5		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
PR-8	crc-pr	crc-pr:PR-8	7	3	4		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
PR-9	crc-pr	crc-pr:PR-9	4	2	2		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-3	crc-sp-1	crc-sp-1:SP-3	6	3	1	Grep=1;Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-4	crc-sp-1	crc-sp-1:SP-4	5	3	1	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-6	crc-sp-1	crc-sp-1:SP-6	9	3	4	Grep=1;Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-7	crc-sp-1	crc-sp-1:SP-7	5	2	1	Grep=1;Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-8	crc-sp-1	crc-sp-1:SP-8	5	3	1	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-9	crc-sp-1	crc-sp-1:SP-9	1	0	0	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-10	crc-sp-1	crc-sp-1:SP-10	3	1	0	Grep=1;Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-11	crc-sp-1	crc-sp-1:SP-11	2	1	0	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-12	crc-sp-1	crc-sp-1:SP-12	2	1	0	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-13	crc-sp-1	crc-sp-1:SP-13	1	0	0	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-15.1	crc-sp-1	crc-sp-1:SP-15.1	7	0	5	Grep=1;Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-15.2	crc-sp-1	crc-sp-1:SP-15.2	6	0	5	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-15.3	crc-sp-1	crc-sp-1:SP-15.3	6	0	5	Grep=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-15.4	crc-sp-1	crc-sp-1:SP-15.4	6	0	5	Grep=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-16	crc-sp-1	crc-sp-1:SP-16	2	0	0	Bash=1;Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-17	crc-sp-1	crc-sp-1:SP-17	5	3	0	Grep=1;Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-18	crc-sp-1	crc-sp-1:SP-18	7	0	4	Bash=1;Grep=1;Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-19	crc-sp-1	crc-sp-1:SP-19	4	1	2	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-20	crc-sp-1	crc-sp-1:SP-20	8	2	4	Grep=1;Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-21	crc-sp-1	crc-sp-1:SP-21	5	3	0	Grep=1;Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-23	crc-sp-2	crc-sp-2:SP-23	5	5	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-24	crc-sp-2	crc-sp-2:SP-24	6	5	1		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-25.1	crc-sp-2	crc-sp-2:SP-25.1	3	2	0	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-25.2	crc-sp-2	crc-sp-2:SP-25.2	3	2	0	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-25.3	crc-sp-2	crc-sp-2:SP-25.3	3	2	0	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-25.4	crc-sp-2	crc-sp-2:SP-25.4	4	2	1	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-25.5	crc-sp-2	crc-sp-2:SP-25.5	4	2	1	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-26	crc-sp-2	crc-sp-2:SP-26	7	5	2		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-27	crc-sp-2	crc-sp-2:SP-27	3	3	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-29	crc-sp-2	crc-sp-2:SP-29	5	5	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-30	crc-sp-2	crc-sp-2:SP-30	5	5	0		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-31	crc-sp-2	crc-sp-2:SP-31	6	3	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-32.1	crc-sp-2	crc-sp-2:SP-32.1	7	3	4		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-32.2	crc-sp-2	crc-sp-2:SP-32.2	5	3	2		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-32.3	crc-sp-2	crc-sp-2:SP-32.3	7	2	5		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-33.1	crc-sp-2	crc-sp-2:SP-33.1	2	1	0	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-33.2	crc-sp-2	crc-sp-2:SP-33.2	7	5	1	Read=1	0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-34	crc-sp-2	crc-sp-2:SP-34	6	4	2		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-35	crc-sp-2	crc-sp-2:SP-35	6	5	1		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-36.1	crc-sp-3	crc-sp-3:SP-36.1	5	4	1		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-36.2	crc-sp-3	crc-sp-3:SP-36.2	5	4	1		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-36.3	crc-sp-3	crc-sp-3:SP-36.3	5	4	1		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-36.4	crc-sp-3	crc-sp-3:SP-36.4	6	4	2		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-37	crc-sp-3	crc-sp-3:SP-37	7	4	3		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-40	crc-sp-3	crc-sp-3:SP-40	2	0	2		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
SP-41	crc-sp-3	crc-sp-3:SP-41	4	3	1		0	EXCLUDED — gen mismatch (prior CRC reviews used crcGenerationNumber=1; current=2)
