callId	matched_item_id	match_score	match_method	matched_grade	classifier_route	classifier_confidence	classifier_reasoning	specialist	dispatch_success	fallback_reason	checklist_text_preview	agent_question_preview
20260507T092616356Z-xf0m	cc-6:CMP-01	1.00	exact	inspect-drawing-optional	generic	0.95	The agent is asking whether a land use map/diagram exists on the sheet and whether it shows adjacent land uses (presence and content check), not asking to measure distances, read dimensions, or inspect drawing annotations. This is a document/feature presence question.	vision	False		Land use map showing adjacent land uses not provided	Does this sheet contain a land use map or diagram that shows the existing land uses of adjacent prop
20260507T092616358Z-91yp	cc-20:CC-20-02	1.00	exact	vision-only	generic	0.95	The agent is asking for document-element presence checks (signature, PE seal, date) on a letter — these are visual label/marking readouts, not drawing annotations or measurements. This is a straightforward feature-presence inspection of document components.	vision	False		Engineer's project summary letter not present, or not signed/sealed/dated, or does not discuss 2-yr 	Does this engineer's summary letter contain a signature, PE seal, and date? Look for these elements 
20260507T092641977Z-4nv0	cc-15:CC-15-06	1.00	exact	vision-only	generic	0.95	The agent is asking whether specific text elements (watershed name and classification) are present and visible on the cover sheet, which is a document-content and label-readout check, not a drawing inspection or measurement task.	vision	False		Watershed name and classification not shown on cover sheet (ENV-01)	Is the watershed name and classification shown on this cover sheet? Look for watershed name (such as
20260507T092641978Z-snks	cc-10:AE-02	1.00	exact	inspect-drawing-optional	generic	0.95	The agent is asking a presence/feature-discovery question: do existing electric utility facilities appear anywhere on this sheet at all? This is a sheet-content check, not a drawing-element annotation inspection (which would be drawing_inspect) or a spatial measurement (which would be measurement). The agent is verifying whether the infrastructure category exists on the plan, not inspecting how it is symbolized or dimensioned.	vision	False		Existing electric utility facilities (overhead and underground) not shown on plan sheets	Are existing electric utility facilities (both overhead and underground) shown on this sheet? Look f
20260507T092641979Z-avbe	cc-1:CC-1-09	1.00	exact	vision-only	generic	0.98	The agent is asking whether specific document elements (PE seal, signature, date) are present on the front/cover page of a report — this is a document-presence and title-block check, not a drawing inspection or measurement task.	vision	True		Bound Engineering Report missing, or front page lacks signature, seal, or date (INT-09)	Does the front page or cover page of this engineering report document bear a Texas PE seal, signatur
20260507T092641980Z-rqru	cc-22:CC-22-12	1.00	exact	inspect-drawing-optional	drawing_inspect	0.95	The agent is asking whether dimensional annotations (labels showing distances between driveways) are present and visible on the drawing itself. This is a drawing-element inspection task, not a measurement task—the agent is checking for the presence and visibility of dimension callouts, which is a drawing_inspect responsibility.	inspect-drawing	True		Driveway spacing dimensions not shown on plans (DRV-02)	Are driveway spacing dimensions shown on this sheet? Look for dimensional annotations showing distan
20260507T092641985Z-lq7s	cc-23:CC-23-01	1.00	exact	inspect-drawing-optional	drawing_inspect	0.95	The agent is asking whether ROW width dimensions and labels are present and annotated on the drawing itself—a drawing-element inspection task. Although the checklist requirement could theoretically involve measurement, the agent question is specifically about whether dimension callouts and labels exist on the sheet, which is a drawing_inspect task (annotation presence and readability), not a measurement task.	inspect-drawing	True		Existing ROW width not shown or not dimensioned (GRD-01)	Are the existing right-of-way widths shown and dimensioned on this existing conditions sheet? Look f
20260507T092642000Z-7o7d	cc-24:CC-24-04	1.00	exact	vision-only	generic	0.95	The agent is asking a presence/feature-discovery question: does X appear on this sheet at all? This is a preliminary check to identify whether street trees, landscaping, or irrigation exist in the ROW before any license-agreement documentation would be required. This is not a measurement or drawing-annotation task, but rather a feature-presence verification.	vision	False		License Agreement for street trees, landscaping, or irrigation in ROW not submitted or referenced (L	Are there any street trees, landscaping elements, or irrigation systems shown within the public righ
20260507T092700057Z-0avu	cc-13:AW-21	1.00	exact	inspect-drawing-required	drawing_inspect	0.98	The agent is asking whether pipes ≥24 inches are annotated/rendered as double lines on the drawing itself—a visual symbol/representation check on the plan, not a measurement between features.	inspect-drawing	True		Size, pipe material, or location of W/WW/reclaimed mains not shown with respect to easements/ROW, or	"Are pipes that are 24 inches or larger (such as 24"", 48"", or 54"" storm pipes) shown as double lines "
20260507T092700058Z-hg62	cc-5:ADR-04	1.00	exact	vision-only	drawing_inspect	0.95	The agent is asking whether labels or callouts identifying building entrances and access points are present and visible on the site plan drawing itself—this is a drawing-element annotation check, not a document-presence or feature-discovery question.	inspect-drawing	True		Main front entrance, building doors, entries, and access points not labeled on site plan	Are building entrances, doors, entry points, or access points labeled on this site plan sheet? Look 
20260507T092700062Z-ogkd	cc-22:CC-22-12	1.00	exact	inspect-drawing-optional	drawing_inspect	0.95	The agent is asking whether dimensional annotations (labels showing distances between driveways) are present and visible on the drawing itself. This is a drawing-element inspection task, not a measurement task—the agent is checking for the presence and visibility of dimension callouts, which is a drawing_inspect responsibility.	inspect-drawing	True		Driveway spacing dimensions not shown on plans (DRV-02)	Are driveway spacing dimensions shown on this sheet? Look for dimensional annotations showing distan
20260507T092740904Z-3yai	cc-3:CC-3-17	1.00	exact	vision-only	generic	0.98	The agent is asking whether a sheet index or table of contents is present on the cover sheet and what it contains. This is a document-presence and content-readout check (generic), not a drawing annotation inspection or measurement. The requirement and agent question are aligned: both concern whether the index exists and is visible on the cover sheet.	vision	True		Index of all site plan sheets missing from cover sheet or 2nd sheet (CVR-17)	Is there a sheet index or table of contents listing all sheets in the plan set visible on this cover
20260507T092740905Z-fkqf	cc-2:CC-2-14	1.00	exact	vision-only	generic	0.95	The agent is asking whether a PE seal with signature and date is present and visible in a specific location (title block or seal area) — this is a feature/element presence check and title-block inspection, not a measurement or drawing-relationship question.	vision	True		Engineer's seal, signature, or date missing from one or more plan sheets (BAS-05)	Does this sheet have a professional engineer (PE) seal with signature and date visible in the title 
20260507T092740910Z-eu3h	cc-23:CC-23-01	1.00	exact	inspect-drawing-optional	drawing_inspect	0.95	The agent is asking whether dimension annotations (dimension lines with measurements) are present and labelled on the drawing for existing ROW widths. This is a drawing-element inspection task (checking for the presence of dimensional annotations), not a measurement task. The requirement and agent question are aligned: both concern whether ROW widths are dimensioned on the plan.	inspect-drawing	True		Existing ROW width not shown or not dimensioned (GRD-01)	Are the existing right-of-way widths shown with specific dimensional measurements on this dimensiona
20260507T092740914Z-qptf	cc-22:CC-22-13	1.00	exact	inspect-drawing-optional	drawing_inspect	0.95	The agent is asking whether width dimensions and radius measurements are annotated/labelled on the drawing itself — a drawing-element inspection task, not a measurement task. The agent is checking for the presence of dimension annotations on driveway features, which is a drawing_inspect problem.	inspect-drawing	True		Driveway widths or curb return radii not shown on plans (DRV-03)	Are driveway widths and curb return radii shown on this sheet? Look for width dimensions of driveway
20260507T092830867Z-giil	cc-1:CC-1-19	1.00	exact	vision-only	drawing_inspect	0.95	The agent is asking whether a specific visual marking (red highlighting) is present and visible on the location map drawing itself — this is a drawing element inspection, not a document-presence or generic label-readout check.	inspect-drawing	False		Legible location map missing, not a separate PDF, or site area not marked in red (INT-19)	Is the site area marked or highlighted in red on this location map?
20260507T092830871Z-8o5i	cc-13:AW-23	1.00	exact	inspect-drawing-required	drawing_inspect	0.99	The agent is asking whether flow-direction arrows are visually present and annotated on the wastewater lines themselves—a drawing-element inspection task, directly aligned with the checklist requirement.	inspect-drawing	True		Wastewater flow direction not indicated on plan views	Are flow direction arrows shown on the wastewater lines on this utility plan?
20260507T092830886Z-renk	cc-5:ADR-05	1.00	exact	inspect-drawing-optional	drawing_inspect	0.95	The agent is asking whether specific site elements are clearly identified or labeled on the plan itself—this is a drawing annotation and feature-identification question, not a measurement or document-presence check. The requirement and agent question are aligned: both concern whether these features are marked/labeled on the plans.	inspect-drawing	True		Driveway access points, handicap parking, garages, and sidewalk access not identified on plans	Are the following elements clearly identified or labeled on this site plan: (1) driveway access poin
20260507T092830894Z-04pa	cc-10:AE-03	1.00	exact	inspect-drawing-optional	generic	0.95	The agent is asking whether proposed electric utility facilities appear anywhere on the sheet (a presence/feature-discovery check), not asking to inspect drawing symbols, measure clearances, or verify annotations. This is a straightforward feature-presence question.	vision	True		Proposed electric utility facilities not shown on plan sheets	Are proposed electric utility facilities shown on this sheet? Look for proposed underground electric
20260507T092830896Z-bxx1	cc-6:CMP-01	1.00	exact	inspect-drawing-optional	generic	0.95	The agent is asking whether a land use map/diagram exists on the sheet and whether it shows adjacent land uses (presence and content check), not asking to measure distances, read dimensions, or inspect drawing annotations. This is a document/feature presence question.	vision	True		Land use map showing adjacent land uses not provided	Does this sheet contain a land use map or diagram that shows the existing land uses of adjacent prop
20260507T092848376Z-meok	cc-24:CC-24-04	1.00	exact	vision-only	generic	0.95	The agent is asking a presence/feature-identification question (do trees or plantings appear in the ROW at all?), which is a prerequisite to determining whether a License Agreement is required. This is sheet discovery and feature presence, not a drawing annotation or measurement task.	vision	True		License Agreement for street trees, landscaping, or irrigation in ROW not submitted or referenced (L	Are there any trees or landscape plantings shown within the public right-of-way (outside the propert
20260507T092938998Z-praf	cc-1:CC-1-21	1.00	exact	vision-only	generic	0.99	The agent is asking whether a specific document element (engineer's seal and signature) is present on the cover sheet. This is a feature/element presence check on a document, not a measurement or drawing annotation inspection.	vision	True		Cover sheet does not bear engineer's signature and seal (INT-21)	Does the cover sheet bear a Texas PE seal and engineer's signature?
20260507T092939004Z-ekq2	cc-13:AW-18	1.00	exact	inspect-drawing-optional	drawing_inspect	0.95	The agent is asking whether plan and profile views are positioned in specific locations on the sheet (top half vs. bottom half), which requires visual inspection of drawing layout and spatial arrangement, not measurement between features or document-level checks.	inspect-drawing	True		Profile view missing for public water/reclaimed/wastewater mains, or plan view not at top half of sh	On this water and wastewater plan and profile sheet, is the plan view located in the top half of the
20260507T092939005Z-f2jw	cc-22:CC-22-13	1.00	exact	inspect-drawing-optional	drawing_inspect	0.95	The agent is asking whether width dimensions and radius measurements are annotated/labelled on the drawing itself — a drawing-element inspection task, not a measurement task. The agent is checking for the presence of dimension annotations on driveway features, which is a drawing_inspect problem.	inspect-drawing	True		Driveway widths or curb return radii not shown on plans (DRV-03)	Are driveway widths and curb return radii shown on this sheet? Look for width dimensions of driveway
20260507T092939007Z-rm4n	cc-23:CC-23-02	1.00	exact	inspect-drawing-optional	generic	0.95	The agent is asking a presence/feature-identification question—whether behind-the-curb improvements appear on the plan at all—rather than asking to measure, dimension, or inspect drawing annotations. This is a sheet-discovery and feature-presence check, not a measurement or drawing-element inspection.	vision	True		Existing and proposed behind-the-curb improvements not shown (GRD-02)	Are existing and proposed behind-the-curb improvements shown on this grading plan? Behind-the-curb i
20260507T092954455Z-yytw	cc-13:AW-36	1.00	exact	vision-only	generic	0.95	The agent is asking for a label readout of the scale annotations shown on the sheet (what scales are present), not a measurement between features or an inspection of drawing symbols/relationships. This is a title-block or sheet-annotation check, which falls under generic.	vision	True		"Plan/profile sheets not using standard AW scales per UCM 2.5 (H 1""=40'/30'/20'; V 1""=4'/3'/2') or be"	What are the horizontal and vertical scales shown on this plan/profile sheet?
20260507T093009562Z-56iu	cc-2:CC-2-16	1.00	exact	inspect-drawing-optional	drawing_inspect	0.98	The agent is asking whether bearing and dimension annotations are present on boundary lines in the drawing itself—a direct inspection of drawing elements and labels, not a measurement task or document-presence check.	inspect-drawing	True		Boundary lines with bearings and dimensions not shown on Existing Conditions or Overall Site Plan sh	Are property boundary lines with bearings and dimensions shown on this sheet? Look for boundary line
20260507T093009587Z-h35l	cc-3:CC-3-24	1.00	exact	vision-only	generic	0.95	The agent is asking whether a specific approval block or signature block is present on the cover sheet — this is a feature/element presence check and title-block inspection, not a measurement or drawing annotation task.	vision	True		Director DSD approval block or Site Plan/SDP Number block missing from cover sheet (CVR-24)	Is there a Director DSD approval block or Site Plan Release approval block visible on this cover she
20260507T093009590Z-rdmt	cc-10:AE-03	1.00	exact	inspect-drawing-optional	generic	0.95	The agent is asking whether proposed electric utility facilities appear anywhere on the sheet (a presence/feature-discovery question), not asking to measure clearances, inspect drawing annotations, or verify dimensional labels. This is a straightforward feature-presence check.	vision	True		Proposed electric utility facilities not shown on plan sheets	Are proposed electric utility facilities shown on this sheet? Look for proposed underground electric
20260507T093028682Z-29yk	cc-22:CC-22-14	1.00	exact	inspect-drawing-required	generic	0.95	The agent is asking a presence/feature-identification question ('Are adjacent driveways shown on this sheet?'), which is a sheet-discovery and feature-presence check. Although the checklist requirement involves a 300-foot distance threshold, the agent is not asking for a measurement between driveways; it is asking whether adjacent driveways appear on the sheet at all as a prerequisite step.	vision	True		Adjacent driveways within 300 feet not shown on plans (DRV-04)	Are adjacent driveways on neighboring properties within 300 feet shown on this sheet? Look for drive
20260507T093028684Z-exoe	cc-5:ADR-05	1.00	exact	inspect-drawing-optional	drawing_inspect	0.95	The agent is asking whether handicap parking spaces are labeled or identified through symbols, legends, or text annotations on the plan — this is a drawing-element inspection task (looking for symbols and labels), not a presence check or measurement.	inspect-drawing	True		Driveway access points, handicap parking, garages, and sidewalk access not identified on plans	Are handicap/accessible parking spaces labeled or identified on this parking garage plan? Look for s
20260507T093028685Z-ugau	cc-6:CMP-02	1.00	exact	inspect-drawing-optional	drawing_inspect	0.95	The agent is asking whether specific architectural elements and annotations (materials, windows, doors, balconies, rooflines, massing, legend) are shown on the elevation drawing itself. This is a drawing-content inspection question, not a document-presence check—the elevation exists, and the agent is verifying what visual features and annotations it contains.	inspect-drawing	True		Building elevations showing architectural elements not provided	Does this elevation drawing show architectural elements such as building materials, fenestration (wi
20260507T093028689Z-0rp2	cc-2:CC-2-16	1.00	exact	inspect-drawing-optional	drawing_inspect	0.95	The agent is asking whether bearing and dimension annotations are present on boundary lines in the drawing itself — this is a drawing-element inspection task (checking for labeled annotations), not a measurement or document-presence check.	inspect-drawing	True		Boundary lines with bearings and dimensions not shown on Existing Conditions or Overall Site Plan sh	Are property boundary lines with bearings and dimensions shown on this sheet? Look for boundary line
20260507T093047619Z-pi8z	cc-13:AW-31	1.00	exact	vision-only	drawing_inspect	0.95	The agent is asking whether curve data annotations (tables, callouts, radius, length, delta labels) are visually present and legible on the drawing itself — this is a drawing-element inspection task, not a measurement or document-presence check.	inspect-drawing	True		Curve data for roads, property lines, water, and reclaimed water lines not shown	Are curve data tables or curve callouts (radius, length, delta) shown on this utility plan sheet for
20260507T093107227Z-91pp	cc-6:CMP-03	1.00	exact	inspect-drawing-optional	drawing_inspect	0.95	The agent is asking whether setback lines (a drawing element/annotation) are shown on the site plan adjacent to residential uses or zones. This is a visual inspection of whether specific lines and their spatial relationships to zoned areas are depicted on the drawing, not a measurement of setback distance or a generic presence/document check.	inspect-drawing	True		Setbacks adjacent to residential uses or zoning not shown on plans	Are setback lines adjacent to residential uses or residential zoning shown on this site plan? Look s
20260507T093107230Z-qx9i	cc-24:CC-24-06	1.00	exact	vision-only	generic	0.95	The agent is asking a presence/feature-identification question (does lighting exist in the ROW at all?), which is a prerequisite to the document-submission requirement. This is progressive verification: the checklist requires a license agreement to be submitted/referenced, but the agent is first checking whether pedestrian lighting fixtures are even shown on the plan. This is a feature-presence check, not a drawing annotation or measurement question.	vision	True		License Agreement for pedestrian lighting in ROW not submitted or referenced (LDE-06)	Are there any pedestrian lighting fixtures, street lights, or decorative lighting elements shown wit
20260507T093120322Z-5ito	cc-2:CC-2-14	1.00	exact	vision-only	generic	0.95	The agent is asking whether a PE seal with signature and date is present and visible in a specific location (title block or seal area) — this is a feature/element presence check and title-block inspection, not a measurement or drawing-relationship question.	vision	True		Engineer's seal, signature, or date missing from one or more plan sheets (BAS-05)	Does this sheet have a professional engineer (PE) seal with signature and date visible in the title 
20260507T093120325Z-npvi	cc-23:CC-23-03	1.00	exact	inspect-drawing-optional	drawing_inspect	0.95	The agent is asking whether contour lines and their labels are present and distinguishable on the grading plan drawing itself—a visual inspection of drawing elements (lines, labels, spatial relationships) rather than a presence/absence check or measurement task.	inspect-drawing	True		Grading plan with existing and proposed grade lines not provided (GRD-03)	Does this grading plan show both existing and proposed grade lines (contours)? Look for contour line
20260507T093120327Z-envs	cc-10:AE-02	1.00	exact	inspect-drawing-optional	generic	0.95	The agent is asking a presence/feature-discovery question: do existing electric utility facilities appear anywhere on this sheet? This is a sheet-level feature presence check, not a drawing-element annotation inspection (which would require identifying specific symbols or line styles) or a measurement. The agent is conducting initial discovery before any detailed spatial analysis.	vision	True		Existing electric utility facilities (overhead and underground) not shown on plan sheets	Are existing electric utility facilities shown on this sheet? Look for existing overhead electric li
20260507T093120330Z-psg6	cc-13:AW-38b	1.00	exact	inspect-drawing-optional	generic	0.95	The agent is asking a presence/feature-discovery question ('Are [features] shown on this plan?'), which is a sheet-level or plan-level feature-presence check, not a drawing-element annotation inspection or measurement. This is progressive verification before any spatial-relationship or dimension analysis.	vision	True		Storm sewers, easements, or watercourse centerlines not shown on plans	Are storm sewer lines, manholes, and drainage structures shown on this overall utility plan?
20260507T093142057Z-sr2e	cc-22:CC-22-14	1.00	exact	inspect-drawing-required	generic	0.95	The agent is asking a presence/feature-identification question ('Are adjacent driveways shown on this sheet?'), which is a sheet-discovery and feature-presence check. Although the checklist requirement is about a measurement/clearance rule (300 feet), the agent is not yet asking for distance measurement—only whether adjacent driveways exist and are visible on the plan at all. Once presence is confirmed, a measurement question would follow.	vision	True		Adjacent driveways within 300 feet not shown on plans (DRV-04)	Are adjacent driveways on neighboring properties within 300 feet shown on this sheet? Look for drive
20260507T093157143Z-rt1d	cc-6:CMP-02	1.00	exact	inspect-drawing-optional	generic	0.95	The agent is asking whether a specific legend box (a document element/annotation) exists on the sheet, which is a presence and label-readout check. Although the checklist requirement concerns building elevations, the agent question is narrower and focused on discovering whether a particular legend exists and is labeled—this is sheet-element discovery, not architectural-feature inspection or measurement.	vision	True		Building elevations showing architectural elements not provided	Is there a material legend box on this sheet that identifies the different building materials and fi
20260507T093157150Z-thry	cc-23:CC-23-04	1.00	exact	inspect-drawing-optional	drawing_inspect	0.95	The agent is asking whether dimension lines and measurements are annotated on the drawing for ROW improvements — this is a drawing-element annotation check, not a measurement between two features. The agent is inspecting for the presence and visibility of dimension annotations themselves, which is a drawing_inspect task.	inspect-drawing	True		Dimensions for new or modified ROW improvements not shown (GRD-04)	Are dimensions shown for new or modified ROW improvements on this dimensional control sheet? Look fo
20260507T093214913Z-fhfb	cc-2:CC-2-14	1.00	exact	vision-only	generic	0.95	The agent is asking whether a PE seal with signature and date is present and visible in a specific location (title block or seal area) — this is a feature/element presence check and title-block inspection, not a measurement or drawing-relationship question.	vision	True		Engineer's seal, signature, or date missing from one or more plan sheets (BAS-05)	Does this sheet have a professional engineer (PE) seal with signature and date visible in the title 
20260507T093225147Z-rgig	cc-6:CMP-02	1.00	exact	inspect-drawing-optional	generic	0.95	The agent is asking whether a sheet contains building elevations and a material legend — a document/sheet presence and content discovery question — rather than inspecting specific drawing annotations or measuring clearances between features.	vision	True		Building elevations showing architectural elements not provided	Does this sheet show building elevations with architectural elements such as building materials, fen
20260507T093225325Z-dfyd	cc-2:CC-2-21	1.00	exact	inspect-drawing-optional	generic	0.95	The agent is asking whether easements are present and visible on the sheet at all (a feature/element presence check), not whether easement boundaries are dimensioned, measured, or spatially related to other features. This is sheet-level feature discovery, not drawing annotation inspection or clearance measurement.	vision	True		Existing or future dedicated easements not shown on one or more sheets (BAS-12)	Are easements (such as utility easements, public easements, or drainage easements) shown on this she
20260507T093226214Z-xf8w	cc-22:CC-22-14	1.00	exact	inspect-drawing-required	generic	0.95	The agent is asking a presence/feature-identification question—whether adjacent driveways appear on the sheet at all—rather than measuring the 300-foot spacing between them. This is a progressive verification step (presence check before measurement); routing is based on the agent question, which is narrower than the full checklist requirement.	vision	True		Adjacent driveways within 300 feet not shown on plans (DRV-04)	Are adjacent driveways on neighboring properties shown on this sheet? Look for driveways on adjacent
20260507T093247122Z-3sto	cc-13:AW-27	1.00	exact	inspect-drawing-optional	drawing_inspect	0.95	The agent is asking whether recordation number annotations (text labels in Volume/Page format) are present and visible on the utility plan drawing itself. This is a drawing-element annotation check, not a document-presence or table-read question.	inspect-drawing	True		Recorded easement recordation numbers (volume/page) not shown for existing easements, or proposed ea	"Are existing easements labeled with recordation numbers (such as Volume/Page format like ""Vol 76 Pg "
20260507T093310874Z-i5kc	cc-23:CC-23-10	1.00	exact	inspect-drawing-optional	generic	0.95	The agent is asking whether dumpster/garbage cart locations are present and labeled on the site plan at all (a feature-presence and label-readout check), not asking to measure distances or inspect drawing symbols/spatial relationships. This is a sheet-discovery and annotation presence question, not a measurement or drawing-element inspection.	vision	True		Location of existing and proposed dumpsters and garbage carts (interior or exterior) not shown (SVC-	Are locations of dumpsters or garbage carts shown on this site plan? Look for labels or callouts ind
20260507T093311912Z-en5a	cc-2:CC-2-23	1.00	exact	inspect-drawing-optional	generic	0.95	The agent is asking a presence/feature-discovery question: do overhead utility lines appear on this sheet at all? This is a sheet-discovery and feature-presence check, not a drawing-inspection of annotations/symbols or a measurement task. The agent is verifying whether the feature exists on the plan before any detailed inspection of how it is depicted.	vision	True		Overhead utility lines (existing and proposed) not shown on applicable sheets (BAS-14a)	Are overhead utility lines (existing or proposed) shown on this sheet? Look for overhead electric li
20260507T093311914Z-rn55	cc-22:CC-22-15	1.00	exact	inspect-drawing-optional	drawing_inspect	0.95	The agent is asking whether dimension annotations (offset measurements between opposing driveways) are shown on the drawing itself—a drawing-element inspection task, not a measurement task. The agent is checking for the presence and labeling of dimensions on the plan, not asking the agent to measure the distance.	inspect-drawing	True		Offsets from opposing driveways not dimensioned on undivided street frontage (DRV-05)	This site fronts South Lamar Boulevard, which is currently a 5-lane undivided street. Are offsets fr
20260507T093329942Z-zo39	cc-24:CC-24-15	1.00	exact	vision-only	measurement	0.95	The agent is asking for a quantitative determination of how much piping length falls within vs. outside the property line (ROW boundary), which requires plan-view distance/length measurement between the property line and utility features to establish excavation footage in the DAPCZ or outside it—the core compliance trigger for the AULCC requirement.	vision	True	measurement_arg_construction_not_implemented	Plans not submitted or referenced for AULCC when excavations exceed 25 LF in DAPCZ or 300 LF outside	On this water and wastewater plan, identify where the property line intersects the utility lines. Ho
20260507T093329952Z-2ovh	cc-23:CC-23-08	1.00	exact	vision-only	drawing_inspect	0.95	The agent is asking whether elevation labels (top and bottom) are annotated on retaining wall features visible in the drawing, which is a drawing-element annotation check, not a measurement or presence-only question.	inspect-drawing	True		Retaining wall top and bottom elevations not shown (RDW-04)	Are there retaining walls shown on this grading plan with top and bottom elevations labeled? Look fo
20260507T093357717Z-z5j2	cc-3:AF-01	1.00	exact	vision-only	generic	0.95	The agent is asking for a text readout and transcription of Fire Department notes from the sheet, which is a label/note presence and content extraction task, not a drawing inspection or measurement. This is progressive verification (identifying what notes exist before comparing them to the checklist template), but the immediate task is document/note discovery and transcription, not spatial reasoning or dimensional analysis.	vision	True		Standard Austin Fire notes missing, incomplete, or not matching Notes and Templates (~90% semantic t	"Read and transcribe all the Fire Department notes visible on this sheet. Look for a section titled """
20260507T093357718Z-tzwb	cc-22:CC-22-19	1.00	exact	inspect-drawing-optional	drawing_inspect	0.98	The agent is asking whether dimension annotations (width, depth, angle labels) are present and visible on the drawing itself—a classic drawing-element inspection task, not a measurement between two features or a generic presence check.	inspect-drawing	True		Parking stall width, depth, or angle not dimensioned (PRK-03)	Are parking stall widths, depths, and angles dimensioned on this sheet? Look for dimension annotatio
