case_number	ref	department	agent_status	agent_confidence	triage_status	triage_sub_status	bucket	pattern_tags	hypothesis_short	remediation_id	per_case_file
132	crc-EV:EV-07.1	EV	resolved	high	none	none	un-triaged-resolved-or-na	mention-vs-demonstration|self-uncertainty-not-escalated	The agent resolved a whole-chapter compliance item because landscape sheets exist and 'appear to address' the topics, while conceding 'a full regulatory comp...	R-1	per-case/132.md
141	crc-EV:EV-12	EV	resolved	high	none	none	un-triaged-resolved-or-na	mention-vs-demonstration|atomization-incomplete	The item asks whether street yard trees are PROVIDED on the landscape plan per ECM 2.4.1.D	R-2	per-case/141.md
222	crc-SP:SP-36.1	SP	resolved	medium	none	none	un-triaged-resolved-or-na	mention-vs-demonstration	The item requires each ground-floor commercial use to have a customer ENTRANCE opening DIRECTLY ONTO THE SIDEWALK	R-2	per-case/222.md
229	crc-SP:SP-42	SP	resolved	high	none	none	un-triaged-resolved-or-na	mention-vs-demonstration	The item includes 'including the roofline and any overhangs.' The agent verified the footprint fill and label (133,718 SF, grey fill per legend) and then ass...	R-2	per-case/229.md
231	crc-SP:SP-44	SP	resolved	medium	none	none	un-triaged-resolved-or-na	mention-vs-demonstration	The agent resolved from two attestations: the LEGEND defines an LOC linetype, and the COVER SHEET states LOC acreage (5.94 AC)	R-2	per-case/231.md
235	crc-SP:SP-48	SP	resolved	medium	none	none	un-triaged-resolved-or-na	mention-vs-demonstration	The item requires a development/landscape plan FOR THE COURTYARD on the landscape sheets	R-2	per-case/235.md
277	crc-WQ:WQ-2	WQ	resolved	medium	none	none	un-triaged-resolved-or-na	mention-vs-demonstration|any-vs-most-quantifier	The item enumerates specific areas (all sidewalks, the southern drive aisle in PR-1, the sidewalk within PR-2) that must demonstrably drain to the WQ pond	R-2	per-case/277.md
278	crc-WQ:WQ-3.1	WQ	resolved	medium	none	none	un-triaged-resolved-or-na	mention-vs-demonstration|self-uncertainty-not-escalated	The agent conceded 'the plan does not explicitly label setback dimensions or central location verification,' said placement 'appears central,' and resolved b...	R-1	per-case/278.md
283	crc-WQ:WQ-8.1	WQ	resolved	medium	none	none	un-triaged-resolved-or-na	mention-vs-demonstration	The item requires cleanouts DETAILED FLUSH with the media bed top or proposed grade	R-2	per-case/283.md
119	crc-EV:EV-03	EV	resolved	high	none	none	un-triaged-resolved-or-na	na-under-defended|show-on-all-sheets-partial	The item requires Q1/Q2 tables to be REMOVED -- under calibration they were presumably present somewhere in this set	R-6	per-case/119.md
207	crc-SP:SP-26.3	SP	resolved	medium	none	none	un-triaged-resolved-or-na	na-under-defended	The agent resolved this conditional item by declaring no Supplemental Zone is proposed, based on one vision check of Sheet 15 finding no labels	R-6	per-case/207.md
209	crc-SP:SP-29	SP	resolved	medium	none	none	un-triaged-resolved-or-na	na-under-defended	Same evidence base and flaw as SP-26.3: the un-triggered-condition conclusion rests entirely on the Sheet 15 vision check finding no supplemental-zone labels	R-6	per-case/209.md
78	crc-DE:DE-0	DE	resolved	high	none	none	un-triaged-resolved-or-na	other:system-metadata-as-evidence	All three runs resolved this by citing the CRC pipeline's own sheet-guide 'Changes from Prior Version' sections and similarity percentages (98%, 92%, 94%) as...	R-7	per-case/078.md
57	crc-CA:CA-17	CA	resolved	medium	none	none	un-triaged-resolved-or-na	scope-misinterpretation|self-uncertainty-not-escalated	The item requires that mitigation IS PROVIDED at the minimum rates	R-1	per-case/057.md
124	crc-EV:EV-05.4	EV	resolved	high	none	none	un-triaged-resolved-or-na	scope-misinterpretation	The item demands 'a SINGLE, overall ESC sheet that consolidates' the controls -- almost certainly the reviewer's objection to the two-sheet split	R-4	per-case/124.md
166	crc-PB:PB-1	PB	resolved	medium	none	none	un-triaged-resolved-or-na	scope-misinterpretation	The item says no private wastewater piping crosses lot lines ANYWHERE	R-4	per-case/166.md
275	crc-WQ:WQ-0	WQ	resolved	high	none	none	un-triaged-resolved-or-na	scope-misinterpretation	The item requires a description of CHANGES to the water quality design since the last submittal	R-4	per-case/275.md
56	crc-CA:CA-16.2	CA	resolved	medium	none	none	un-triaged-resolved-or-na	self-uncertainty-not-escalated|mention-vs-demonstration	The agent's own reasoning concedes 'the plan does not explicitly reference the regulatory framework or explain site suitability' and that this 'creates ambig...	R-1	per-case/056.md
94	crc-DE:DE-17	DE	resolved	medium	none	none	un-triaged-resolved-or-na	self-uncertainty-not-escalated|any-vs-most-quantifier	The agent's own reasoning documents apparent violations -- 'SD-03, SD-04, and SD-06 are shown as 12" RCP, which may be insufficient if they are public lines'...	R-1	per-case/094.md
97	crc-DE:DE-20.1	DE	resolved	medium	none	none	un-triaged-resolved-or-na	self-uncertainty-not-escalated|mention-vs-demonstration	The item requires utility crossings to be shown IN THE STORM DRAIN PROFILE VIEWS	R-1	per-case/097.md
122	crc-EV:EV-05.2	EV	resolved	medium	none	none	un-triaged-resolved-or-na	self-uncertainty-not-escalated|any-vs-most-quantifier	The agent wrote that continuous placement along the ENTIRE upslope LOC 'must be verified by visual inspection..	R-1	per-case/122.md
123	crc-EV:EV-05.3	EV	resolved	medium	none	none	un-triaged-resolved-or-na	self-uncertainty-not-escalated	Identical structure to EV-05.2: the agent stated the staging/spoils designation and the downslope silt-fence row 'cannot be confirmed from text descriptions ...	R-1	per-case/123.md
133	crc-EV:EV-07.2	EV	resolved	medium	none	none	un-triaged-resolved-or-na	self-uncertainty-not-escalated	The agent's own observation surfaced a live discrepancy -- title block says 52 sheets, README enumerates 54 -- and stated that visual verification 'would con...	R-1	per-case/133.md
152	crc-F:F-4	F	resolved	high	none	none	un-triaged-resolved-or-na	self-uncertainty-not-escalated|scope-misinterpretation	The agent's reasoning computes the violation itself: available fire flow 1,404 GPM vs required 1,500 GPM sprinklered demand, labels it 'a marginal non-compli...	R-1	per-case/152.md
184	crc-SP:SP-11.1	SP	resolved	medium	none	none	un-triaged-resolved-or-na	self-uncertainty-not-escalated|mention-vs-demonstration	The agent concluded 'this appears resolved IF the DB90 authorization is valid, but requires positive confirmation that the DB90 overlay is properly applied' ...	R-1	per-case/184.md
228	crc-SP:SP-41	SP	resolved	high	none	none	un-triaged-resolved-or-na	show-on-all-sheets-partial|any-vs-most-quantifier	The item requires ALL amenities (walls, fences, sidewalks, pools, other improvements) shown on EVERY site plan sheet where they would be visible	R-4	per-case/228.md
3	crc-AW:AW-1.3	AW	resolved	medium	none	none	un-triaged-resolved-or-na	term-conflation	The majority conflated storm-drain (DPW) standard details with Austin Water details	R-8	per-case/003.md
88	crc-DE:DE-11	DE	resolved	medium	none	none	un-triaged-resolved-or-na	term-conflation|self-uncertainty-not-escalated	The item is about drainage EASEMENTS (legal instruments with a plat or document source)	R-8	per-case/088.md
91	crc-DE:DE-14.1	DE	resolved	high	none	none	un-triaged-resolved-or-na	term-conflation|mention-vs-demonstration	The agent explicitly redefined the required artifact: 'the term inlet drainage area map refers to the same drainage area map.' An inlet drainage area map sub...	R-8	per-case/091.md
115	crc-DE:DE-36.1	DE	resolved	high	none	none	un-triaged-resolved-or-na	term-conflation	All three runs credited a 'SEDIMENTATION/FILTRATION POND MAINTENANCE PLAN' (with surface-pond provisions: vegetation height, unvegetated-area limits, irrigat...	R-8	per-case/115.md
121	crc-EV:EV-05.1	EV	resolved	medium	none	none	un-triaged-resolved-or-na	term-conflation	The item's first clause requires the COMMENT RESPONSE LETTER to state whether a pond is proposed	R-8	per-case/121.md
273	crc-TPW:TPW-20.2	TPW	resolved	medium	none	none	un-triaged-resolved-or-na	term-conflation|mention-vs-demonstration	The item requires the LONG-TERM bike parking AREA depicted and dimensioned on the site plan	R-8	per-case/273.md
279	crc-WQ:WQ-3.2	WQ	resolved	medium	none	none	un-triaged-resolved-or-na	term-conflation	WQ-3.1 covers the water quality (filtration) basin hatch; WQ-3.2 requires the DETENTION basin to have its own 4x6 hatch	R-8	per-case/279.md
112	crc-DE:DE-32	DE	resolved	medium	none	none	un-triaged-resolved-or-na	vision-dimensional-misread	The majority read the SD-03 stationing and flowline numbers correctly (STA 1+00.00 FL 544.80 to STA 1+48.30 FL 545.04) but never noticed their physical meani...	R-3	per-case/112.md
223	crc-SP:SP-36.2	SP	resolved	high	none	none	un-triaged-resolved-or-na	vision-dimensional-misread|mention-vs-demonstration	No depth dimension was ever read	R-3	per-case/223.md
286	crc-WQ:WQ-9	WQ	resolved	medium	none	none	un-triaged-resolved-or-na	vision-dimensional-misread	The wall height hinges on which base elevation is subtracted from the 540.27 top: the majority chose ~534.92 (giving 5.35 ft, pass); the dissent computed ~6....	R-3	per-case/286.md
214	crc-SP:SP-31.2	SP	resolved	medium	none	none	un-triaged-resolved-or-na	vision-feature-hallucinated	The majority's vision check reports Figure 34 'IS REPRODUCED..	R-3	per-case/214.md
