deficiency_id	deficiency	classification	should_call_md	subClassification	status_run_1	status_run_2	status_run_3	majority_status	majority_count
EL-1.2	Customer facilities do not maintain minimum 15-foot radial clearance from outside conductor of overhead distribution pri	horizontal	yes	distance-only	not-verifiable	missing	not-verifiable	not-verifiable	2/3
EL-1.20	Final road and driveway grades do not maintain minimum 30-foot vertical clearance from electric transmission lines to gr	vertical-or-mixed	no		missing	missing	missing	missing	3/3
EL-1.21	Final highway and freeway grades with distribution underbuilt do not maintain minimum 40-foot vertical clearance from ov	vertical-or-mixed	no		missing	missing	missing	missing	3/3
EL-1.22	Existing electric poles in conflict with proposed driveways not relocated minimum 30 feet from edge of driveway	horizontal	yes	distance-only	missing	missing	missing	missing	3/3
EL-1.23	Clearance dimensions measured from utility pole or centerline instead of from outside conductor or outermost electric li	not-applicable	no		missing	fail	not-verifiable	missing	1/3
EL-1.24	Streetlight poles located under overhead electric lines	horizontal	yes	distance-only	missing	missing	not-verifiable	missing	2/3
EL-1.25	Sidewalks not cleared from existing power poles at each end of property along right-of-way	horizontal	yes	distance-only	missing	missing	not-verifiable	missing	2/3
EL-1.26	Enclosed trash areas and trash receptacles placed under overhead electric facilities creating risk of contact when trash	horizontal	yes	distance-only	missing	missing	missing	missing	3/3
EL-1.27	Customer facilities proposed to be installed under or over Austin Energy overhead distribution facilities in violation o	horizontal	yes	distance-only	not-verifiable	missing	not-verifiable	not-verifiable	2/3
EL-1.28	Water meters do not maintain minimum 7.5-foot horizontal sky-to-ground clearance from outside conductor of existing over	horizontal	yes	distance-only	missing	missing	not-verifiable	missing	2/3
EL-1.29	Water lines do not maintain minimum clearance from existing overhead electrical distribution facilities	horizontal	yes	distance-only	missing	missing	not-verifiable	missing	2/3
EL-1.3	Building projections (overhangs, awnings, balconies, decks, roofs, patios) do not maintain required clearances from over	vertical-or-mixed	no		missing	not-verifiable	not-verifiable	not-verifiable	2/3
EL-1.30	Permanent foundations within 5 feet of property line do not allow necessary clearance space for electric facilities	horizontal	yes	distance-only	missing	missing	missing	missing	3/3
EL-1.31	Survey by registered surveyor showing pole locations and mid-span clearances not provided when existing overhead facilit	not-applicable	no		fail	fail	not-verifiable	fail	2/3
EL-1.32	Overhead electric line crossings of roadways not oriented at 90-degree angle to road	not-applicable	no		missing	missing	missing	missing	3/3
EL-1.33	Secondary overhead electric lines cross over primary overhead electric lines	not-applicable	no		missing	missing	missing	missing	3/3
EL-1.34	Marquee signs lack clearance verification or do not provide profile exhibits showing dimensions from sign to existing el	vertical-or-mixed	no		missing	missing	not-verifiable	missing	2/3
EL-1.35	New power poles for underground service located less than 20 feet from existing power poles	horizontal	yes	distance-only	missing	missing	missing	missing	3/3
EL-1.36	Decorative lighting proposed under existing overhead electric lines does not meet clearance requirements or is not reloc	horizontal	yes	distance-only	missing	missing	not-verifiable	missing	2/3
EL-1.37	Trees proposed within 10 lateral feet of overhead distribution conductors or 50 lateral feet of overhead transmission co	horizontal	yes	distance-plus	fail	missing	not-verifiable	fail	1/3
EL-1.38	Proposed meter locations obstructed by site features, structures, or landscaping	not-applicable	no		missing	missing	not-verifiable	missing	2/3
EL-1.39	Proposed development does not maintain required clearances from existing streetlights	horizontal	yes	distance-only	missing	missing	missing	missing	3/3
EL-1.4	Gas pump canopies do not maintain required clearances from overhead electric lines	horizontal	yes	distance-only	missing	missing	missing	missing	3/3
EL-1.40	Down guy wires conflicting with accessible paths, driveways, or other site features not resolved through pole relocation	horizontal	yes	distance-only	missing	missing	not-verifiable	missing	2/3
EL-1.41	Guy easements for down guy anchors not provided extending 10 feet either side of guy wire plus 50 feet beyond end of anc	not-applicable	no		missing	missing	missing	missing	3/3
EL-1.42	Down guy anchor points lack dedicated easement 10 feet wide extending 5 feet past where down guy enters ground	not-applicable	no		missing	missing	missing	missing	3/3
EL-1.43	Transformers do not maintain minimum 7.5-foot vertical sky-to-ground clearance from overhead electric lines	vertical-or-mixed	no		missing	missing	not-verifiable	missing	2/3
EL-1.44	Transformers and switchgears in niche service configurations do not maintain minimum 35-foot vertical clearance inside n	vertical-or-mixed	no		missing	missing	missing	missing	3/3
EL-1.45	Construction staging areas, equipment operation zones, and work platforms do not maintain minimum 10-foot radial clearan	horizontal	yes	distance-only	missing	missing	not-verifiable	missing	2/3
EL-1.46	Plans do not include required note that owner/contractor must notify Austin Energy at least 48 hours before work begins 	not-applicable	no		fail	fail	not-verifiable	fail	2/3
EL-1.47	Service-mast through-roof installations do not maintain minimum 3-foot clearance above roof, or 18-inch clearance if wit	not-applicable	no		missing	missing	missing	missing	3/3
EL-1.5	Stairs, elevated walkways, and elevated platforms do not maintain minimum 15-foot radial clearance from overhead electri	vertical-or-mixed	no		missing	missing	missing	missing	3/3
EL-1.6	Buildings do not maintain minimum 7.5-foot horizontal sky-to-ground clearance and 15-foot radial clearance from overhead	horizontal	yes	distance-only	not-verifiable	missing	not-verifiable	not-verifiable	2/3
EL-1.7	Surveyed elevations and locations of overhead conductors not included on building elevation sheets to demonstrate requir	not-applicable	no		not-verifiable	fail	not-verifiable	not-verifiable	2/3
EL-1.8	Section and plan view exhibits do not show dimensions from outer electric conductor to outermost edge of buildings and b	not-applicable	no		fail	fail	not-verifiable	fail	2/3
EL-1.9	Fences do not maintain minimum 7.5-foot horizontal sky-to-ground clearance from outside conductor of overhead electric f	horizontal	yes	distance-only	missing	missing	not-verifiable	missing	2/3
EL-13.1	Transformer pads lack minimum 5-foot clearance from buildings, structures, and building foundations	horizontal	yes	distance-only	not-verifiable	fail	not-verifiable	not-verifiable	2/3
EL-13.10	Transformer pad hot-stick use area (access door side) lacks minimum 10-foot clearance to open area or adjacent building/	horizontal	yes	distance-plus	not-verifiable	fail	not-verifiable	not-verifiable	2/3
EL-13.11	Transformer pad hot-stick use area (access door side) lacks minimum 15-foot clearance when facing confined space (niche,	vertical-or-mixed	no		missing	missing	not-verifiable	missing	2/3
EL-13.12	Transformer pads lack minimum 5-foot clearance from fire hydrants	horizontal	yes	distance-only	not-verifiable	not-verifiable	not-verifiable	not-verifiable	3/3
EL-13.13	Trees within 10 lateral feet of pad-mounted equipment are not identified as utility-compatible species per ECM Appendix 	horizontal	yes	distance-plus	not-verifiable	missing	not-verifiable	not-verifiable	2/3
EL-13.14	Shrubs or low-lying vegetation lack minimum 10 lateral feet clearance from transformer access door side, or lack minimum	horizontal	yes	distance-plus	not-verifiable	not-verifiable	not-verifiable	not-verifiable	3/3
EL-13.15	Trees within 20 lateral feet of underground electric equipment lack required root barriers (minimum 4 feet deep, install	horizontal	yes	distance-plus	not-verifiable	not-verifiable	not-verifiable	not-verifiable	3/3
EL-13.16	Transformer pads lack minimum 5-foot clearance from dumpsters	horizontal	yes	distance-only	missing	missing	not-verifiable	missing	2/3
EL-13.17	Transformer pads lack minimum 5-foot clearance from bike racks	horizontal	yes	distance-only	not-verifiable	not-verifiable	not-verifiable	not-verifiable	3/3
EL-13.18	Transformer pads lack minimum 5-foot clearance from light poles	horizontal	yes	distance-only	missing	not-verifiable	not-verifiable	not-verifiable	2/3
EL-13.19	Transformer pads lack minimum 15-foot clearance from fire lanes	horizontal	yes	distance-only	not-verifiable	not-verifiable	not-verifiable	not-verifiable	3/3
EL-13.2	Transformer pads lack minimum 5-foot clearance from retaining walls	horizontal	yes	distance-only	not-verifiable	not-verifiable	not-verifiable	not-verifiable	3/3
EL-13.20	Transformer pads lack minimum 5-foot clearance from other transformer pads	horizontal	yes	distance-only	not-verifiable	fail	not-verifiable	not-verifiable	2/3
EL-13.21	Transformer pads lack minimum 5-foot horizontal clearance from water lines	vertical-or-mixed	no		not-verifiable	not-verifiable	not-verifiable	not-verifiable	3/3
EL-13.22	Transformer pads lack minimum 5-foot horizontal clearance from wastewater lines	vertical-or-mixed	no		not-verifiable	not-verifiable	not-verifiable	not-verifiable	3/3
EL-13.23	Transformer pads lack minimum 5-foot horizontal clearance from storm drain lines	vertical-or-mixed	no		not-verifiable	not-verifiable	not-verifiable	not-verifiable	3/3
EL-13.24	Transformer pads lack minimum horizontal clearance from gas lines (24 inches minimum for gas pipelines less than 60 psi,	vertical-or-mixed	no		missing	missing	not-verifiable	missing	2/3
EL-13.25	Transformer pads lack minimum 12-inch horizontal and vertical clearance from other underground utilities (except gas, fu	vertical-or-mixed	no		not-verifiable	not-verifiable	not-verifiable	not-verifiable	3/3
EL-13.26	Transformer pads or AE underground facilities located over or under other utility lines, or customer buildings/foundatio	vertical-or-mixed	no		not-verifiable	not-verifiable	not-verifiable	not-verifiable	3/3
EL-13.27	Transformer locations lack minimum 7.5-foot horizontal sky-to-ground clearance from overhead distribution line conductor	horizontal	yes	distance-only	missing	not-verifiable	not-verifiable	not-verifiable	2/3
EL-13.28	Transformer locations or proposed facilities lack minimum 15-foot radius clearance from overhead distribution primary an	horizontal	yes	distance-only	missing	not-verifiable	not-verifiable	not-verifiable	2/3
EL-13.29	Transformer locations in enclosed or notched-out areas (niches) lack minimum 35-foot vertical clearance inside niche and	vertical-or-mixed	no		missing	missing	not-verifiable	missing	2/3
EL-13.3	Transformer pads lack required clearance from fences and gates - 5 feet for sides with operators/controls, 3 feet for si	horizontal	yes	distance-only	not-verifiable	missing	not-verifiable	not-verifiable	2/3
EL-13.30	Niche service installations lack required 3-hour fire wall rating for walls and ceilings, proper ventilation specificati	not-applicable	no		missing	missing	not-verifiable	missing	2/3
EL-13.31	Cross-section drawings not provided showing vertical clearances in access paths with overhead structures, parking garage	not-applicable	no		not-verifiable	missing	not-verifiable	not-verifiable	2/3
EL-13.32	Grading plan shows drainage slopes toward building from oil-filled transformer pad location (liquid flow must be away fr	not-applicable	no		missing	not-verifiable	not-verifiable	not-verifiable	2/3
EL-13.33	Transformer pads not located 100% on private property, located in public right-of-way, or straddling property lines	not-applicable	no		not-verifiable	not-verifiable	not-verifiable	not-verifiable	3/3
EL-13.34	Transformer pads located in prohibited easements including drainage easements, water easements, sewer easements, or elec	not-applicable	no		not-verifiable	not-verifiable	not-verifiable	not-verifiable	3/3
EL-13.35	Transformer easements not shown around pads, or easement width inadequate for Austin Energy accessibility requirements	not-applicable	no		fail	fail	not-verifiable	fail	2/3
EL-13.36	Electrical routing from transformer to meter not 100% on private property	not-applicable	no		not-verifiable	not-verifiable	not-verifiable	not-verifiable	3/3
EL-13.37	Transformer pad dimensions do not match Austin Energy Design-approved transformer pad detail sheets for specified servic	not-applicable	no		fail	fail	not-verifiable	fail	2/3
EL-13.38	Equipment pad installed within 4 feet of parking areas or vehicle routes lacks required 4-inch minimum diameter galvaniz	horizontal	yes	distance-plus	not-verifiable	not-verifiable	not-verifiable	not-verifiable	3/3
EL-13.39	Customer facilities (buildings, parking garages, light poles, signs, billboards, chimneys, antennas, tanks) installed un	horizontal	yes	distance-only	missing	not-verifiable	not-verifiable	not-verifiable	2/3
EL-13.4	Transformer pads with reduced clearances (3 feet to brick/masonry buildings) lack documentation of Austin Energy Design 	vertical-or-mixed	no		missing	missing	not-verifiable	missing	2/3
EL-13.5	Transformer pads lack minimum 5-foot lateral clearance from balconies and building overhangs, or have coverings/structur	vertical-or-mixed	no		missing	missing	not-verifiable	missing	2/3
EL-13.6	Transformer pads lack minimum 12-foot horizontal clearance from windows, doors, or ventilating ducts when window/door/du	vertical-or-mixed	no		missing	not-verifiable	not-verifiable	not-verifiable	2/3
EL-13.7	Transformer pads not located minimum 2 feet from back of sidewalks	horizontal	yes	distance-only	not-verifiable	not-verifiable	not-verifiable	not-verifiable	3/3
EL-13.8	Transformer pads lack required clearance from stairwells serving as fire exits	horizontal	yes	distance-only	missing	missing	not-verifiable	missing	2/3
EL-13.9	Transformer pads lack minimum 20-foot horizontal/radial clearance from fire escapes or stairs serving as fire escapes (o	horizontal	yes	distance-plus	missing	missing	not-verifiable	missing	2/3
EL-2.1	Non-utility-compatible trees proposed within 15 lateral feet of overhead electric distribution conductor or equipment	horizontal	yes	distance-plus	not-verifiable	not-verifiable	not-verifiable	not-verifiable	3/3
EL-2.10	Plant legend or plant schedule does not identify species of trees proposed near electric facilities	not-applicable	no		fail	missing	fail	fail	2/3
EL-2.11	Large trees (mature height 40+ feet per ECM Appendix F) not differentiated on plans to allow verification of clearances 	not-applicable	no		not-verifiable	fail	fail	fail	2/3
EL-2.12	Tree clearances measured from utility pole centerline or structure instead of from outer electric conductor	not-applicable	no		missing	missing	not-verifiable	missing	2/3
EL-2.13	Tree clearances measured from tree canopy instead of from tree trunk (planting location)	not-applicable	no		missing	missing	not-verifiable	missing	2/3
EL-2.14	Trees not shown on landscape plan in relation to overhead electric facilities, preventing clearance verification	not-applicable	no		missing	fail	missing	missing	2/3
EL-2.15	Plans propose trees within prohibited clearance zones without documented Austin Energy written approval	not-applicable	no		fail	fail	fail	fail	3/3
EL-2.2	Non-utility-compatible trees proposed within 50 lateral feet of overhead electric transmission conductor or equipment	horizontal	yes	distance-plus	missing	missing	missing	missing	3/3
EL-2.3	Large trees (mature height 40+ feet per ECM Appendix F) proposed within 25 lateral feet of overhead electric distributio	horizontal	yes	distance-plus	not-verifiable	fail	not-verifiable	not-verifiable	2/3
EL-2.4	Large trees (mature height 40+ feet per ECM Appendix F) proposed within 50 lateral feet of overhead electric transmissio	horizontal	yes	distance-plus	missing	missing	missing	missing	3/3
EL-2.5	Trees (any species) proposed within transmission easement boundaries	horizontal	yes	distance-plus	missing	missing	missing	missing	3/3
EL-2.6	Trees proposed within 10 lateral feet of overhead electric utility pole	horizontal	yes	distance-only	fail	not-verifiable	not-verifiable	not-verifiable	2/3
EL-2.7	Trees proposed within 10 lateral feet of pad-mounted electric equipment, or between equipment access door and drivable s	horizontal	yes	distance-plus	not-verifiable	not-verifiable	not-verifiable	not-verifiable	3/3
EL-2.8	Trees proposed within 5 lateral feet of underground electric equipment	horizontal	yes	distance-only	not-verifiable	not-verifiable	missing	not-verifiable	2/3
EL-2.9	Trees proposed within 20 lateral feet of underground electric equipment lack required root barriers (minimum 4 feet deep	horizontal	yes	distance-plus	not-verifiable	fail	not-verifiable	not-verifiable	2/3
